title,state_name,ideology,year,city,lat,lon
a2z Publications,Nevada,General Hate,2009,Las Vegas,36.2291,-115.2607
Abiding Truth Ministries,Massachusetts,Anti-LGBT,2009,Springfield,42.1155,-72.5395
AC Skins,New Jersey,Racist Skinhead,2009,Absecon,39.4228,-74.4944
AC Skins,New Jersey,Racist Skinhead,2009,Atlantic City,39.3797,-74.4527
AC Skins,New Jersey,Racist Skinhead,2009,Browns Mills,39.9737,-74.569
AC Skins,New Jersey,Racist Skinhead,2009,Linwood,39.3435,-74.5708
AC Skins,New Jersey,Racist Skinhead,2009,Marlton,39.9016,-74.9297
AC Skins,New Jersey,Racist Skinhead,2009,Somers Point,39.3167,-74.6066
AC Skins,New Jersey,Racist Skinhead,2009,Wildwood,38.9877,-74.8188
AC Skins,New Jersey,Racist Skinhead,2009,Woodbine,39.2283,-74.8095
Alabama Christian Klan,Alabama,Ku Klux Klan,2009,Birmingham,33.5276,-86.7988
Alliance for Catholic Tradition,Pennsylvania,Radical Traditional Catholicism,2009,Pleasant Unity,40.2395,-79.4509
America's Promise Ministries,Idaho,Christian Identity,2009,Sandpoint,48.2832,-116.5613
American Border Patrol,Arizona,Anti-Immigrant,2009,Sierra Vista,31.563,-110.3153
American Free Press,District of Columbia,General Hate,2009,Washington,38.9047,-77.0163
American Front,Alabama,Racist Skinhead,2009,Blountsville,34.0814,-86.5867
American Front,California,Racist Skinhead,2009,Sacramento,38.5667,-121.4683
American Front,New York,Racist Skinhead,2009,Troy,42.7354,-73.6751
American Immigration Control Foundation/Americans for Immigration Control,Virginia,Anti-Immigrant,2009,Monterey,38.4116,-79.5809
American National Socialist Workers Party,Maryland,Neo-Nazi,2009,Elkridge,39.1941,-76.7427
American Nationalist Union,Nevada,White Nationalist,2009,Las Vegas,36.2291,-115.2607
American Nazi Party,Michigan,Neo-Nazi,2009,Westland,42.3192,-83.3805
American Renaissance/New Century Foundation,Virginia,White Nationalist,2009,Arlington,38.8786,-77.1011
American Renaissance/New Century Foundation,Illinois,White Nationalist,2009,Chicago,41.8373,-87.6861
American Renaissance/New Century Foundation,Virginia,White Nationalist,2009,Oakton,38.8887,-77.3017
American Renaissance/New Century Foundation,California,White Nationalist,2009,San Francisco,37.7562,-122.443
American Third Position,California,White Nationalist,2009,Los Angeles,34.1139,-118.4068
American Vision,Georgia,Anti-LGBT,2009,Powder Springs,33.866,-84.6838
Artisan Publishers,Oklahoma,General Hate,2009,Muskogee,35.743,-95.3566
Aryan 88 - The Official Johnny Rebel Website,New Jersey,Hate Music,2009,Maple Shade,39.9526,-74.9924
Aryan Frontline Skinheads,Texas,Racist Skinhead,2009,Houston,29.7868,-95.3905
Aryan Nations,Wisconsin,Neo-Nazi,2009,Appleton,44.2774,-88.3894
Aryan Nations,Idaho,Neo-Nazi,2009,Coeur d'Alene,47.7039,-116.7933
Aryan Nations,Washington,Neo-Nazi,2009,Tacoma,47.2431,-122.4531
Aryan Nations,Massachusetts,Neo-Nazi,2009,Attleboro,41.9311,-71.295
Aryan Nations,South Carolina,Neo-Nazi,2009,Lexington,33.9866,-81.222
Aryan Nations 88,Idaho,Neo-Nazi,2009,Athol,47.9446,-116.7079
