title,state_name,ideology,year,city,lat,lon
11th Hour Remnant Messenger,Idaho,Christian Identity,2001,Sandpoint,48.2832,-116.5613
88 Enterprises,Ohio,General Hate,2001,Canton,40.8076,-81.3677
Alabama White Knights of the KKK,Alabama,Ku Klux Klan,2001,Anniston,33.6713,-85.8136
Alabama White Knights of the KKK,Alabama,Ku Klux Klan,2001,Ashville,33.8331,-86.2698
Alabama White Knights of the KKK,Alabama,Ku Klux Klan,2001,Birmingham,33.5276,-86.7988
Alabama White Knights of the KKK,Alabama,Ku Klux Klan,2001,Clanton,32.8439,-86.623
Alabama White Knights of the KKK,Alabama,Ku Klux Klan,2001,Pelham,33.3116,-86.7573
Alabama White Knights of the KKK,Alabama,Ku Klux Klan,2001,Shelby,33.1068,-86.5825
Alabama White Knights of the KKK,Alabama,Ku Klux Klan,2001,Sylacauga,33.1779,-86.2606
Alabama White Knights of the KKK,Alabama,Ku Klux Klan,2001,Wilton,33.0813,-86.8799
America's Invisible Empire Knights of the KKK,Alabama,Christian Identity,2001,Hartselle,34.4391,-86.94
America's Promise Ministries,Idaho,Christian Identity,2001,Sandpoint,48.2832,-116.5613
American Friends of the British National Party,Virginia,General Hate,2001,Falls Church,38.8847,-77.1751
American Front,Pennsylvania,Racist Skinhead,2001,Philadelphia,40.0076,-75.134
American Immigration Control Foundation / Americans for Immigration Control,Virginia,Anti-Immigrant,2001,Monterey,38.4116,-79.5809
American Knights of the Ku Klux Klan,Indiana,Ku Klux Klan,2001,Butler,41.4274,-84.8721
American Knights of the Ku Klux Klan,Arkansas,Ku Klux Klan,2001,Cedarville,35.5831,-94.3615
American Knights of the Ku Klux Klan,Pennsylvania,Ku Klux Klan,2001,Cokeburg,40.1001,-80.0656
American Knights of the Ku Klux Klan,Oklahoma,Ku Klux Klan,2001,Collinsville,36.3723,-95.8601
American Knights of the Ku Klux Klan,Texas,Ku Klux Klan,2001,Conroe,30.322,-95.4807
American Knights of the Ku Klux Klan,Indiana,Ku Klux Klan,2001,Goshen,41.5741,-85.8304
American Knights of the Ku Klux Klan,Texas,Ku Klux Klan,2001,Mauriceville,30.2187,-93.8758
American Knights of the Ku Klux Klan,Tennessee,Ku Klux Klan,2001,Memphis,35.1047,-89.9773
American Knights of the Ku Klux Klan,New York,Ku Klux Klan,2001,Newburgh,41.5037,-74.0205
American Knights of the Ku Klux Klan,Missouri,Ku Klux Klan,2001,Nixa,37.0459,-93.2953
American Knights of the Ku Klux Klan,Florida,Ku Klux Klan,2001,Orlando,28.4788,-81.342
American Knights of the Ku Klux Klan,Texas,Ku Klux Klan,2001,Riesel,31.4763,-96.9304
American Knights of the Ku Klux Klan,Texas,Ku Klux Klan,2001,San Antonio,29.4722,-98.5247
American Knights of the Ku Klux Klan,Texas,Ku Klux Klan,2001,Victoria,28.8285,-96.985
American Knights of the Ku Klux Klan,Oklahoma,Ku Klux Klan,2001,Watts,36.1073,-94.5717
