title,state_name,ideology,year,city,lat,lon
Black Riders Liberation Party,California,Black Nationalist,2015,San Diego,32.8312,-117.1226
Blood and Honour Social Club,North Carolina,Racist Skinhead,2015,Greensboro,36.0956,-79.8269
Bob's Underground Graduate Seminar/BUGS,South Carolina,White Nationalist,2015,Columbia,34.037,-80.9042
Bosch Fawstin,New York,Anti-Muslim,2015,New York,40.6943,-73.9249
The Brother Nathanael Foundation,Colorado,General Hate,2015,Frisco,39.5793,-106.0919
Bureau on American Islamic Relations,Texas,Anti-Muslim,2015,Irving,32.8584,-96.9702
Californians for Population Stabilization,California,Anti-Immigrant,2015,Santa Barbara,34.4285,-119.7202
Camp LoneStar,Texas,Anti-Immigrant,2015,Brownsville,25.998,-97.4565
Campaign for Radical Truth in History,Idaho,Holocaust Denial,2015,Coeur d'Alene,47.7039,-116.7933
The Campus Ministry USA,Indiana,Anti-LGBT,2015,Terre Haute,39.4654,-87.3763
carolynyeager.net,Texas,Holocaust Denial,2015,Kerrville,30.0399,-99.1319
Castle Hill Publishers,New York,Holocaust Denial,2015,New York,40.6943,-73.9249
Catholic Action Resource Center,Florida,Radical Traditional Catholicism,2015,Orlando,28.4788,-81.342
Catholic Counterpoint,Pennsylvania,Radical Traditional Catholicism,2015,Broomall,39.9694,-75.3529
"Catholic Family News/Catholic Family Ministries, Inc.",New York,Radical Traditional Catholicism,2015,Niagara Falls,43.0921,-79.0147
Center for Family and Human Rights (C-FAM),New York,Anti-LGBT,2015,New York,40.6943,-73.9249
Center for Family and Human Rights (C-FAM),District of Columbia,Anti-LGBT,2015,Washington,38.9047,-77.0163
Center for Security Policy,District of Columbia,Anti-Muslim,2015,Washington,38.9047,-77.0163
Chalcedon Foundation,California,Anti-LGBT,2015,Vallecito,38.074,-120.4563
Chick Publications,California,General Hate,2015,Ontario,34.0393,-117.6064
Christ the King Church,Colorado,Anti-LGBT,2015,Larkspur,39.2318,-104.8926
Christian Action Network,Virginia,Anti-Muslim,2015,Forest,37.3728,-79.2831
Christian Anti-Defamation Commission,California,General Hate,2015,Vista,33.1895,-117.2387
Christian Defense League,Louisiana,Neo-Nazi,2015,Mandeville,30.375,-90.0906
Christian Guardians,California,Anti-Muslim,2015,San Francisco,37.7562,-122.443
Christian Identity Vanguard,Georgia,White Nationalist,2015,Grovetown,33.4503,-82.2076
Christian Revival Center,Arkansas,Christian Identity,2015,Harrison,36.2437,-93.1197
Church of the Sons of YHVH,Louisiana,Christian Identity,2015,Converse,31.7795,-93.7001
Citizen Warrior,Tennessee,Anti-Muslim,2015,Nashville,36.1714,-86.7844
Citizens for Community Values,Ohio,Anti-LGBT,2015,Cincinnati,39.1412,-84.5059
Citizens for National Security,Florida,Anti-Muslim,2015,Boca Raton,26.3749,-80.1077
Colorado Alliance for Immigration Reform,Colorado,Anti-Immigrant,2015,Lakewood,39.6978,-105.1168
Concerned Citizens and Friends of Illegal Immigration Law Enforcement,Massachusetts,General Hate,2015,Framingham,42.3085,-71.4368
Confederate Hammerskins,South Carolina,Racist Skinhead,2015,Columbia,34.037,-80.9042
Confederate Hammerskins,Florida,Racist Skinhead,2015,Jacksonville,30.3322,-81.6749
Confederate Hammerskins,Tennessee,Racist Skinhead,2015,Nashville,36.1714,-86.7844
Confederate Hammerskins,Virginia,Racist Skinhead,2015,Richmond,37.5295,-77.4756
Confederate Patriot Voters United,Mississippi,White Nationalist,2015,Baldwyn,34.5071,-88.6416
Confederate White Knights of the Ku Klux Klan,Maryland,Ku Klux Klan,2015,Rosedale,39.3266,-76.5084
"Conservative Citizens Foundation, Inc.",Missouri,White Nationalist,2015,Saint Louis,38.6358,-90.2451
Conservative Republicans of Texas,Texas,Anti-LGBT,2015,Houston,29.7868,-95.3905
Council for Social and Economic Studies,District of Columbia,White Nationalist,2015,Washington,38.9047,-77.0163
Council of Conservative Citizens,Alabama,White Nationalist,2015,Eufaula,31.9102,-85.1505
Council of Conservative Citizens,Tennessee,White Nationalist,2015,Franklin,35.9214,-86.8524
Council of Conservative Citizens,Texas,White Nationalist,2015,Irving,32.8584,-96.9702
Council of Conservative Citizens,Tennessee,White Nationalist,2015,Memphis,35.1047,-89.9773
Council of Conservative Citizens,New York,White Nationalist,2015,New York,40.6943,-73.9249
Council of Conservative Citizens,Maryland,White Nationalist,2015,Silver Spring,39.0028,-77.0207
Council of Conservative Citizens,Ohio,White Nationalist,2015,Springboro,39.5612,-84.2349
Council of Conservative Citizens,South Carolina,White Nationalist,2015,Summerville,33.0005,-80.1788
Counter Jihad Coalition,California,Anti-Muslim,2015,Santa Monica,34.0232,-118.4813
Counter-Currents Publishing,California,White Nationalist,2015,San Diego,32.8312,-117.1226
Covenant People's Ministry,Georgia,Christian Identity,2015,Brooks,33.2925,-84.4588
The Creativity Alliance,Vermont,Neo-Nazi,2015,Middlebury,44.0079,-73.1575
The Creativity Movement,Illinois,Neo-Nazi,2015,Bloomington,40.4757,-88.9705
Crew 38,Maryland,Racist Skinhead,2015,Baltimore,39.3051,-76.6144
Crew 38,Alabama,Racist Skinhead,2015,Birmingham,33.5276,-86.7988
Crew 38,Alabama,Racist Skinhead,2015,Huntsville,34.6989,-86.6414
Crew 38,Tennessee,Racist Skinhead,2015,Portland,36.5879,-86.5191
Crew 38,Kansas,Racist Skinhead,2015,Wichita,37.6897,-97.3442
Cultural Studies Press,New York,General Hate,2015,New York,40.6943,-73.9249
Culture Wars/Fidelity Press,Indiana,Radical Traditional Catholicism,2015,South Bend,41.6771,-86.2692
D. James Kennedy Ministries (formerly Truth in Action),Florida,Anti-LGBT,2015,Fort Lauderdale,26.1412,-80.1464
