title,state_name,ideology,year,city,lat,lon
11th Hour Remnant Messenger,New Mexico,Christian Identity,2012,Santa Fe,35.6619,-105.9819
88 Boot Boys,Arizona,Racist Skinhead,2012,Phoenix,33.5722,-112.0891
9/11 Christian Center at Ground Zero,New York,Anti-Muslim,2012,New York,40.6943,-73.9249
a2z Publications,Nevada,General Hate,2012,Las Vegas,36.2291,-115.2607
Abiding Truth Ministries,Massachusetts,Anti-LGBT,2012,Springfield,42.1155,-72.5395
Abundant Life Fellowship,Indiana,Christian Identity,2012,Morgantown,39.3729,-86.2585
AC Skins,New Jersey,Racist Skinhead,2012,Absecon,39.4228,-74.4944
AC Skins,New Jersey,Racist Skinhead,2012,Atlantic City,39.3797,-74.4527
AC Skins,New Jersey,Racist Skinhead,2012,Browns Mills,39.9737,-74.569
AC Skins,New Jersey,Racist Skinhead,2012,Linwood,39.3435,-74.5708
AC Skins,New Jersey,Racist Skinhead,2012,Marlton,39.9016,-74.9297
AC Skins,New Jersey,Racist Skinhead,2012,Mays Landing,39.4524,-74.7241
AC Skins,New Jersey,Racist Skinhead,2012,Somers Point,39.3167,-74.6066
AC Skins,New Jersey,Racist Skinhead,2012,Wildwood,38.9877,-74.8188
AC Skins,New Jersey,Racist Skinhead,2012,Woodbine,39.2283,-74.8095
Aggressive Christianity,New Mexico,General Hate,2012,Berino,32.0689,-106.6219
Aggressive Christianity,New Mexico,General Hate,2012,Fence Lake,34.669,-108.6801
All Eyes On Egipt Bookstore,Illinois,Black Nationalist,2012,Chicago,41.8373,-87.6861
All Eyes On Egypt Bookstore,Georgia,Black Nationalist,2012,Macon,32.8407,-83.6324
All Eyes on Egypt Bookstore,Georgia,Black Nationalist,2012,Milledgeville,33.0874,-83.2414
Alliance for Catholic Tradition,Pennsylvania,Radical Traditional Catholicism,2012,Pleasant Unity,40.2395,-79.4509
Alternative Right,Montana,White Nationalist,2012,Whitefish,48.4332,-114.3592
America's Promise Ministries,Idaho,Christian Identity,2012,Sandpoint,48.2832,-116.5613
American Border Patrol,Arizona,Anti-Immigrant,2012,Sierra Vista,31.563,-110.3153
American College of Pediatricians,Florida,Anti-LGBT,2012,Gainesville,29.6808,-82.3455
The American Defence League,New York,Anti-Muslim,2012,New York,40.6943,-73.9249
American Family Association,Pennsylvania,Anti-LGBT,2012,Franklin,41.3936,-79.8425
American Family Association,Mississippi,Anti-LGBT,2012,Tupelo,34.2691,-88.7318
American Free Press,District of Columbia,General Hate,2012,Washington,38.9047,-77.0163
American Freedom Defense Initiative,New York,Anti-Muslim,2012,New York,40.6943,-73.9249
American Front,New Jersey,Racist Skinhead,2012,Hackensack,40.889,-74.0461
