title,state_name,ideology,year,city,lat,lon
14 Words Press,North Carolina,White Nationalist,2005,Wilmington,34.21,-77.886
AC Skins,New Jersey,Racist Skinhead,2005,Somers Point,39.3167,-74.6066
Alliance for Catholic Tradition,West Virginia,Radical Traditional Catholicism,2005,Summersville,38.2865,-80.841
America's Invisible Empire Knights of the KKK,Tennessee,Christian Identity,2005,Pulaski,35.1934,-87.0353
America's Promise Ministries,Idaho,Christian Identity,2005,Sandpoint,48.2832,-116.5613
American Border Patrol,Arizona,Anti-Immigrant,2005,Sierra Vista,31.563,-110.3153
American Front,Florida,Racist Skinhead,2005,Orlando,28.4788,-81.342
American Immigration Control Foundation / Americans for Immigration Control,Virginia,Anti-Immigrant,2005,Monterey,38.4116,-79.5809
American Nazi Party,Michigan,Neo-Nazi,2005,Westland,42.3192,-83.3805
American Renaissance/New Century Foundation,Virginia,White Nationalist,2005,Arlington,38.8786,-77.1011
American Renaissance/New Century Foundation,Illinois,White Nationalist,2005,Chicago,41.8373,-87.6861
American Renaissance/New Century Foundation,Virginia,White Nationalist,2005,Oakton,38.8887,-77.3017
American Vision,Georgia,Anti-LGBT,2005,Powder Springs,33.866,-84.6838
American White Knights of the KKK,Georgia,Ku Klux Klan,2005,Cordele,31.9563,-83.7694
American White Knights of the KKK,Florida,Ku Klux Klan,2005,Englewood,26.9604,-82.3535
American White Knights of the KKK,Texas,Ku Klux Klan,2005,San Angelo,31.4426,-100.4501
American White Knights of the KKK,Louisiana,Ku Klux Klan,2005,Winnsboro,32.165,-91.721
Americans for Self Determination,Virginia,White Nationalist,2005,Falls Church,38.8847,-77.1751
Artisan Publishers,Oklahoma,General Hate,2005,Muskogee,35.743,-95.3566
Aryan Covenant Church/ACC Services,Texas,Christian Identity,2005,Anderson,30.4871,-95.99
Aryan Nations,Arizona,Neo-Nazi,2005,Arizona City,32.7506,-111.6707
Aryan Nations,California,Neo-Nazi,2005,Citrus Heights,38.6948,-121.288
Aryan Nations,Georgia,Neo-Nazi,2005,Conyers,33.6645,-83.9967
Aryan Nations,Pennsylvania,Neo-Nazi,2005,Lemoyne,40.2442,-76.8991
Aryan Nations,Alabama,Neo-Nazi,2005,Lincoln,33.5935,-86.1372
Aryan Nations,Arkansas,Neo-Nazi,2005,Little Rock,34.7255,-92.3581
Aryan Nations,Wisconsin,Neo-Nazi,2005,Madison,43.0808,-89.3922
Aryan Nations,Kentucky,Neo-Nazi,2005,Mount Washington,38.0429,-85.555
Aryan Nations,Oregon,Neo-Nazi,2005,North Bend,43.4075,-124.2364
Aryan Nations,New Jersey,Neo-Nazi,2005,North Bergen,40.8043,-74.0121
Aryan Nations,Nevada,Neo-Nazi,2005,Reno,39.5497,-119.8483
Aryan Nations,Washington,Neo-Nazi,2005,Tacoma,47.2431,-122.4531
Aryan Nations,Alabama,Neo-Nazi,2005,Talladega,33.4329,-86.0976
Aryan Nations,Pennsylvania,Neo-Nazi,2005,Leola,40.0915,-76.1891
Aryan Nations,Michigan,Neo-Nazi,2005,Rhodes,43.9017,-84.1761
Aryan Nations,Florida,Neo-Nazi,2005,Sebring,27.477,-81.453
Aryan Nations Knights of the KKK,Louisiana,Ku Klux Klan,2005,Calhoun,32.5153,-92.3539
Aryan Nations Knights of the KKK,Florida,Ku Klux Klan,2005,Milton,30.6286,-87.0521
Aryan Nations Knights of the KKK,Texas,Ku Klux Klan,2005,Somerset,29.2285,-98.6567
Aryan Nations Knights of the KKK,Alabama,Ku Klux Klan,2005,Thorsby,32.917,-86.7203
Aryan Raiders,Alabama,Neo-Nazi,2005,Alexander City,32.9242,-85.9361
Aryan Wear,Texas,White Nationalist,2005,Keller,32.9337,-97.2255
Atlanta Committee for Historical Review,Georgia,General Hate,2005,Atlanta,33.7626,-84.4228
Barnes Review/Foundation for Economic Liberty Inc,District of Columbia,Holocaust Denial,2005,Washington,38.9047,-77.0163
Bayou Knights of the KKK,Louisiana,Ku Klux Klan,2005,Denham Springs,30.4743,-90.9594
Bayou Knights of the KKK,Arkansas,Ku Klux Klan,2005,East Camden,33.608,-92.7426
Bayou Knights of the KKK,Louisiana,Ku Klux Klan,2005,Homer,32.793,-93.0582
Bayou Knights of the KKK,Louisiana,Ku Klux Klan,2005,Homer,32.793,-93.0582
Bayou Knights of the KKK,Mississippi,Ku Klux Klan,2005,Kiln,30.4171,-89.4322
Bayou Knights of the KKK,Louisiana,Ku Klux Klan,2005,Mansfield,32.0355,-93.7004
Bayou Knights of the KKK,Texas,Ku Klux Klan,2005,Midlothian,32.4719,-96.9877
Bayou Knights of the KKK,Mississippi,Ku Klux Klan,2005,Richton,31.3495,-88.9407
Bayou Knights of the KKK,Oklahoma,Ku Klux Klan,2005,Shawnee,35.3525,-96.9647
Bayou Knights of the KKK,Arkansas,Ku Klux Klan,2005,Smackover,33.3636,-92.7314
Bergen County Hooligans,New Jersey,Racist Skinhead,2005,Garfield,40.8791,-74.1085
Bergen County Hooligans,New Jersey,Racist Skinhead,2005,Wallington,40.8535,-74.1069
Blood and Honour,Texas,Racist Skinhead,2005,Richardson,32.9717,-96.7092
Blood and Honour,Ohio,Racist Skinhead,2005,Salem,40.9049,-80.8491
Brotherhood of Klans Knights of the KKK,Oklahoma,Ku Klux Klan,2005,Atoka,34.3856,-96.1313
Brotherhood of Klans Knights of the KKK,Illinois,Ku Klux Klan,2005,Beardstown,39.9996,-90.4181
Brotherhood of Klans Knights of the KKK,Illinois,Ku Klux Klan,2005,Berwyn,41.8433,-87.7909
Brotherhood of Klans Knights of the KKK,Oklahoma,Ku Klux Klan,2005,Cement,34.9362,-98.1363
Brotherhood of Klans Knights of the KKK,Oklahoma,Ku Klux Klan,2005,Coalgate,34.5323,-96.2208
Brotherhood of Klans Knights of the KKK,California,Ku Klux Klan,2005,Crescent City,41.7727,-124.1902
Brotherhood of Klans Knights of the KKK,Tennessee,Ku Klux Klan,2005,Decaturville,35.582,-88.1195
Brotherhood of Klans Knights of the KKK,Tennessee,Ku Klux Klan,2005,Dunlap,35.3675,-85.3899
Brotherhood of Klans Knights of the KKK,North Carolina,Ku Klux Klan,2005,Elizabethtown,34.6239,-78.6097
Brotherhood of Klans Knights of the KKK,California,Ku Klux Klan,2005,Garden Grove,33.7787,-117.9601
Brotherhood of Klans Knights of the KKK,Oklahoma,Ku Klux Klan,2005,Hinton,35.4797,-98.3589
Brotherhood of Klans Knights of the KKK,Wisconsin,Ku Klux Klan,2005,Hurley,46.4468,-90.1993
Brotherhood of Klans Knights of the KKK,Michigan,Ku Klux Klan,2005,Ironwood,46.4522,-90.1505
Brotherhood of Klans Knights of the KKK,Texas,Ku Klux Klan,2005,Lake Jackson,29.0516,-95.4522
Brotherhood of Klans Knights of the KKK,Ohio,Ku Klux Klan,2005,Marion,40.5933,-83.1236
Brotherhood of Klans Knights of the KKK,Oklahoma,Ku Klux Klan,2005,Moyers,34.3262,-95.6536
Brotherhood of Klans Knights of the KKK,Nebraska,Ku Klux Klan,2005,Omaha,41.2628,-96.0495
Brotherhood of Klans Knights of the KKK,Illinois,Ku Klux Klan,2005,Prospect Heights,42.1039,-87.9267
Brotherhood of Klans Knights of the KKK,California,Ku Klux Klan,2005,San Luis Obispo,35.2671,-120.6689
Brotherhood of Klans Knights of the KKK,California,Ku Klux Klan,2005,Santa Ana,33.7366,-117.8819
Brotherhood of Klans Knights of the KKK,California,Ku Klux Klan,2005,Soledad,36.4434,-121.3431
