title,state_name,ideology,year,city,lat,lon
211 Bootboys,New York,General Hate,2017,New York,40.6943,-73.9249
a2z Publications,Nevada,General Hate,2017,Las Vegas,36.2291,-115.2607
Abiding Truth Ministries,Massachusetts,Anti-LGBT,2017,Springfield,42.1155,-72.5395
AC Skins,New Jersey,Racist Skinhead,2017,Atlantic City,39.3797,-74.4527
ACT for America,Texas,Anti-Muslim,2017,Austin,30.3006,-97.7517
ACT for America,Louisiana,Anti-Muslim,2017,Baton Rouge,30.4423,-91.1314
ACT for America,Delaware,Anti-Muslim,2017,Bear,39.6188,-75.6804
ACT for America,Massachusetts,Anti-Muslim,2017,Boston,42.3188,-71.0846
ACT for America,California,Anti-Muslim,2017,Calabasas,34.1375,-118.6689
ACT for America,Ohio,Anti-Muslim,2017,Cincinnati,39.1412,-84.5059
ACT for America,Ohio,Anti-Muslim,2017,Cleveland,41.4767,-81.6805
ACT for America,Ohio,Anti-Muslim,2017,Columbus,39.986,-82.9852
ACT for America,California,Anti-Muslim,2017,Corona,33.862,-117.5644
ACT for America,Colorado,Anti-Muslim,2017,Denver,39.7621,-104.8759
ACT for America,Iowa,Anti-Muslim,2017,Des Moines,41.5725,-93.6104
ACT for America,Illinois,Anti-Muslim,2017,Des Plaines,42.0344,-87.9008
ACT for America,Indiana,Anti-Muslim,2017,Evansville,37.9882,-87.5339
ACT for America,North Carolina,Anti-Muslim,2017,Fayetteville,35.0846,-78.9776
ACT for America,Florida,Anti-Muslim,2017,Heathrow,28.7754,-81.3721
ACT for America,Texas,Anti-Muslim,2017,Houston,29.7868,-95.3905
ACT for America,Florida,Anti-Muslim,2017,Jacksonville,30.3322,-81.6749
ACT for America,Arkansas,Anti-Muslim,2017,Jonesboro,35.8212,-90.6795
ACT for America,Montana,Anti-Muslim,2017,Kalispell,48.2155,-114.3262
ACT for America,Missouri,Anti-Muslim,2017,Kansas City,39.1239,-94.5541
ACT for America,Tennessee,Anti-Muslim,2017,Knoxville,35.9692,-83.9495
ACT for America,Indiana,Anti-Muslim,2017,Lafayette,40.3991,-86.8594
ACT for America,California,Anti-Muslim,2017,Laguna Woods,33.6099,-117.7299
ACT for America,Virginia,Anti-Muslim,2017,Leesburg,39.1058,-77.5544
ACT for America,Texas,Anti-Muslim,2017,Lewisville,33.0453,-96.9823
ACT for America,California,Anti-Muslim,2017,Los Angeles,34.1139,-118.4068
ACT for America,Tennessee,Anti-Muslim,2017,Memphis,35.1047,-89.9773
ACT for America,Idaho,Anti-Muslim,2017,Meridian,43.6113,-116.3972
ACT for America,Minnesota,Anti-Muslim,2017,Minneapolis,44.9635,-93.2678
ACT for America,California,Anti-Muslim,2017,Mission Viejo,33.6095,-117.6551
ACT for America,New Hampshire,Anti-Muslim,2017,Nashua,42.7491,-71.491
ACT for America,South Dakota,Anti-Muslim,2017,Rapid City,44.0716,-103.2205
ACT for America,California,Anti-Muslim,2017,Santa Clarita,34.4155,-118.4992
ACT for America,Oregon,Anti-Muslim,2017,Silverton,45.003,-122.7808
ACT for America,Washington,Anti-Muslim,2017,Spokane Valley,47.6625,-117.2346
ACT for America,Indiana,Anti-Muslim,2017,Terre Haute,39.4654,-87.3763
ACT for America,Arizona,Anti-Muslim,2017,Tucson,32.1546,-110.8782
ACT for America,Virginia,Anti-Muslim,2017,Virginia Beach,36.7335,-76.0435
ACT for America,District of Columbia,Anti-Muslim,2017,Washington,38.9047,-77.0163
ACT for America,Montana,Anti-Muslim,2017,Whitehall,45.8709,-112.0975
Aggressive Christianity,New Mexico,General Hate,2017,Fence Lake,34.669,-108.6801
All Eyes On Egypt Bookstore,New Jersey,Black Nationalist,2017,Newark,40.7245,-74.1725
All Eyes on Egipt Bookstore,Ohio,Black Nationalist,2017,Cleveland,41.4767,-81.6805
All Eyes on Egipt Bookstore,Georgia,Black Nationalist,2017,Decatur,33.7711,-84.2968
All Eyes on Egipt Bookstore,Michigan,Black Nationalist,2017,Detroit,42.3834,-83.1024
All Eyes on Egipt Bookstore,Florida,Black Nationalist,2017,Orlando,28.4788,-81.342
All Eyes On Egipt Bookstore,Illinois,Black Nationalist,2017,Chicago,41.8373,-87.6861
