title,state_name,ideology,year,city,lat,lon
Abiding Truth Ministries,Massachusetts,Anti-LGBT,2018,Springfield,42.1155,-72.5395
Alliance Defending Freedom,Arizona,Anti-LGBT,2018,Scottsdale,33.6872,-111.865
American College of Pediatricians,Florida,Anti-LGBT,2018,Gainesville,29.6808,-82.3455
American Family Association,Mississippi,Anti-LGBT,2018,Tupelo,34.2691,-88.7318
American Family Association,Pennsylvania,Anti-LGBT,2018,Franklin,41.3936,-79.8425
American Vision,Georgia,Anti-LGBT,2018,Powder Springs,33.866,-84.6838
Americans for Truth About Homosexuality,Illinois,Anti-LGBT,2018,Naperville,41.7483,-88.1657
ATLAH World Missionary Church (All The Land Anointed Holy),New York,Anti-LGBT,2018,New York,40.6943,-73.9249
Bible Believers Fellowship,Ohio,Anti-LGBT,2018,Worthington,40.0949,-83.021
"Campus Ministry USA, The",Indiana,Anti-LGBT,2018,Terre Haute,39.4654,-87.3763
Center for Family and Human Rights (C-FAM),District of Columbia,Anti-LGBT,2018,Washington,38.9047,-77.0163
Center for Family and Human Rights (C-FAM),New York,Anti-LGBT,2018,New York,40.6943,-73.9249
Chalcedon Foundation,California,Anti-LGBT,2018,Vallecito,38.074,-120.4563
Church Militant/St. Michael's Media,Michigan,Anti-LGBT,2018,Ferndale,42.4592,-83.1314
Concerned Christian Citizens,Texas,Anti-LGBT,2018,Temple,31.1076,-97.3894
Conservative Republicans of Texas,Texas,Anti-LGBT,2018,Houston,29.7868,-95.3905
D. James Kennedy Ministries,Florida,Anti-LGBT,2018,Fort Lauderdale,26.1412,-80.1464
Faith2Action,Ohio,Anti-LGBT,2018,North Royalton,41.3138,-81.7451
Faithful Word Baptist Church,Arizona,Anti-LGBT,2018,Tempe,33.3881,-111.9318
Family Research Council,District of Columbia,Anti-LGBT,2018,Washington,38.9047,-77.0163
Family Research Institute,Colorado,Anti-LGBT,2018,Colorado Springs,38.8674,-104.7606
Family Watch International,Arizona,Anti-LGBT,2018,Gilbert,33.3103,-111.7463
Generations,Colorado,Anti-LGBT,2018,Elizabeth,39.3611,-104.6061
Heterosexuals Organized for a Moral Environment (H.O.M.E.),Illinois,Anti-LGBT,2018,Downers Grove,41.7949,-88.017
Illinois Family Institute,Illinois,Anti-LGBT,2018,Carol Stream,41.9183,-88.1309
Liberty Counsel,Florida,Anti-LGBT,2018,Orlando,28.4788,-81.342
Mass Resistance,California,Anti-LGBT,2018,Torrance,33.8346,-118.3417
Mass Resistance,Colorado,Anti-LGBT,2018,Denver,39.7621,-104.8759
Mass Resistance,Massachusetts,Anti-LGBT,2018,Waltham,42.3889,-71.2423
Mission: America,Ohio,Anti-LGBT,2018,Columbus,39.986,-82.9852
Pacific Justice Institute,California,Anti-LGBT,2018,Sacramento,38.5667,-121.4683
Pass the Salt Ministries,Ohio,Anti-LGBT,2018,Hebron,39.9644,-82.4898
Pilgrims Covenant Church,Wisconsin,Anti-LGBT,2018,Monroe,42.6026,-89.6374
"Pray in Jesus Name Project, The",Colorado,Anti-LGBT,2018,Colorado Springs,38.8674,-104.7606
Probe Ministries,Texas,Anti-LGBT,2018,Plano,33.0502,-96.7487
Public Advocate of the United States,Virginia,Anti-LGBT,2018,Merrifield,38.8731,-77.2426
Ruth Institute,Louisiana,Anti-LGBT,2018,Lake Charles,30.203,-93.215
Save California,California,Anti-LGBT,2018,Sacramento,38.5667,-121.4683
Stedfast Baptist Church,Florida,Anti-LGBT,2018,Jacksonville,30.3322,-81.6749
Stedfast Baptist Church,Texas,Anti-LGBT,2018,Fort Worth,32.7814,-97.3473
Sure Foundation Baptist Church,Washington,Anti-LGBT,2018,Vancouver,45.6352,-122.597
Tom Brown Ministries,Texas,Anti-LGBT,2018,El Paso,31.8479,-106.4309
True Light Pentecost Church,South Carolina,Anti-LGBT,2018,Spartanburg,34.9437,-81.9257
United Families International,Arizona,Anti-LGBT,2018,Gilbert,33.3103,-111.7463
Verity Baptist Church,California,Anti-LGBT,2018,Sacramento,38.5667,-121.4683
Warriors for Christ,West Virginia,Anti-LGBT,2018,Martinsburg,39.4582,-77.9776
Westboro Baptist Church,Kansas,Anti-LGBT,2018,Topeka,39.0346,-95.6956
World Congress of Families/International Organization for the Family,Illinois,Anti-LGBT,2018,Rockford,42.2598,-89.0641
ACT for America,Arkansas,Anti-Muslim,2018,Jonesboro,35.8212,-90.6795
ACT for America,Arizona,Anti-Muslim,2018,Tucson,32.1546,-110.8782
ACT for America,California,Anti-Muslim,2018,Corona,33.862,-117.5644
