,year,code,state,lat,lon,RATE,DEATHS
89,2015,SC,South Carolina,33.9169,-80.8964,17.3,850
90,2015,SD,South Dakota,44.4443,-100.2263,11.1,96
91,2015,TN,Tennessee,35.85800000000001,-86.3505,16.0,"1,075"
92,2015,TX,Texas,31.4757,-99.3312,11.7,"3,203"
93,2015,UT,Utah,39.3055,-111.6703,12.8,367
94,2015,VT,Vermont,44.0687,-72.6658,9.6,70
95,2015,VA,Virginia,37.5215,-78.8537,10.9,946
96,2015,WA,Washington,47.3826,-120.4472,9.8,718
97,2015,WV,West Virginia,38.6409,-80.6227,14.0,278
98,2015,WI,Wisconsin,44.6243,-89.9941,10.4,613
99,2015,WY,Wyoming,42.9957,-107.5512,19.6,113
100,2016,AL,Alabama,32.7794,-86.8287,21.5,"1,046"
101,2016,AK,Alaska,64.0685,-152.2782,23.3,177
102,2016,AZ,Arizona,34.2744,-111.6602,15.2,"1,094"
103,2016,AR,Arkansas,34.8938,-92.4426,17.8,541
104,2016,CA,California,37.1841,-119.4696,7.9,"3,184"
105,2016,CO,Colorado,38.9972,-105.5478,14.3,812
106,2016,CT,Connecticut,41.6219,-72.7273,4.6,172
107,2016,DE,Delaware,38.9896,-75.505,11.0,111
108,2016,FL,Florida,28.6305,-82.4497,12.6,"2,704"
109,2016,GA,Georgia,32.6415,-83.4426,15.0,"1,571"
110,2016,HI,Hawaii,20.2927,-156.3737,4.5,66
111,2016,ID,Idaho,44.3509,-114.613,14.6,242
112,2016,IL,Illinois,40.0417,-89.1965,11.7,"1,490"
113,2016,IN,Indiana,39.8942,-86.2816,15.0,997
114,2016,IA,Iowa,42.0751,-93.496,9.2,288
115,2016,KS,Kansas,38.4937,-98.3804,13.4,383
116,2016,KY,Kentucky,37.5347,-85.3021,17.5,772
117,2016,LA,Louisiana,31.0689,-91.9968,21.3,987
118,2016,ME,Maine,45.3695,-69.2428,8.3,123
119,2016,MD,Maryland,39.055,-76.7909,11.9,707
120,2016,MA,Massachusetts,42.2596,-71.8083,3.4,242
121,2016,MI,Michigan,44.3467,-85.4102,12.3,"1,230"
122,2016,MN,Minnesota,46.2807,-94.3053,7.6,432
123,2016,MS,Mississippi,32.7364,-89.6678,19.9,587
124,2016,MO,Missouri,38.3566,-92.458,19.0,"1,144"
125,2016,MT,Montana,47.0527,-109.6333,18.9,194
126,2016,NE,Nebraska,41.5378,-99.7951,9.1,171
127,2016,NV,Nevada,39.3289,-116.6312,16.8,498
128,2016,NH,New Hampshire,43.6805,-71.5811,9.3,132
129,2016,NJ,New Jersey,40.1907,-74.6728,5.5,485
130,2016,NM,New Mexico,34.4071,-106.1126,18.1,383
131,2016,NY,New York,42.9538,-75.5268,4.4,900
132,2016,NC,North Carolina,35.5557,-79.3877,13.7,"1,409"
133,2016,ND,North Dakota,47.4501,-100.4659,11.9,90
134,2016,OH,Ohio,40.2862,-82.7937,12.9,"1,524"
135,2016,OK,Oklahoma,35.5889,-97.4943,19.6,766
136,2016,OR,Oregon,43.9336,-120.5583,11.9,513
137,2016,PA,Pennsylvania,40.8781,-77.7996,12.0,"1,555"
138,2016,RI,Rhode Island,41.6762,-71.5562,4.1,49
139,2016,SC,South Carolina,33.9169,-80.8964,17.7,891
140,2016,SD,South Dakota,44.4443,-100.2263,13.4,108
141,2016,TN,Tennessee,35.85800000000001,-86.3505,17.1,"1,148"
142,2016,TX,Texas,31.4757,-99.3312,12.1,"3,353"
143,2016,UT,Utah,39.3055,-111.6703,12.9,370
144,2016,VT,Vermont,44.0687,-72.6658,11.1,78
145,2016,VA,Virginia,37.5215,-78.8537,12.1,"1,049"
146,2016,WA,Washington,47.3826,-120.4472,9.0,686
147,2016,WV,West Virginia,38.6409,-80.6227,17.5,332
148,2016,WI,Wisconsin,44.6243,-89.9941,11.4,664
149,2016,WY,Wyoming,42.9957,-107.5512,17.4,101
150,2017,AL,Alabama,32.7794,-86.8287,22.9,"1,124"
151,2017,AK,Alaska,64.0685,-152.2782,24.5,180
152,2017,AZ,Arizona,34.2744,-111.6602,15.8,"1,134"
153,2017,AR,Arkansas,34.8938,-92.4426,20.3,613
154,2017,CA,California,37.1841,-119.4696,7.9,"3,184"
155,2017,CO,Colorado,38.9972,-105.5478,13.4,779
156,2017,CT,Connecticut,41.6219,-72.7273,5.1,188
157,2017,DE,Delaware,38.9896,-75.505,11.7,111
158,2017,FL,Florida,28.6305,-82.4497,12.4,"2,724"
159,2017,GA,Georgia,32.6415,-83.4426,15.4,"1,623"
160,2017,HI,Hawaii,20.2927,-156.3737,2.5,39
161,2017,ID,Idaho,44.3509,-114.613,16.4,280
162,2017,IL,Illinois,40.0417,-89.1965,12.1,"1,543"
163,2017,IN,Indiana,39.8942,-86.2816,15.3,"1,016"
164,2017,IA,Iowa,42.0751,-93.496,9.0,293
165,2017,KS,Kansas,38.4937,-98.3804,16.0,466
166,2017,KY,Kentucky,37.5347,-85.3021,16.2,730
167,2017,LA,Louisiana,31.0689,-91.9968,21.7,"1,008"
168,2017,ME,Maine,45.3695,-69.2428,11.7,172
169,2017,MD,Maryland,39.055,-76.7909,12.3,742
170,2017,MA,Massachusetts,42.2596,-71.8083,3.7,262
171,2017,MI,Michigan,44.3467,-85.4102,11.3,"1,138"
172,2017,MN,Minnesota,46.2807,-94.3053,8.2,465
173,2017,MS,Mississippi,32.7364,-89.6678,21.5,632
174,2017,MO,Missouri,38.3566,-92.458,21.5,"1,307"
175,2017,MT,Montana,47.0527,-109.6333,22.5,244
176,2017,NE,Nebraska,41.5378,-99.7951,8.3,160
177,2017,NV,Nevada,39.3289,-116.6312,16.7,508
178,2017,NH,New Hampshire,43.6805,-71.5811,10.4,146
179,2017,NJ,New Jersey,40.1907,-74.6728,5.3,478
180,2017,NM,New Mexico,34.4071,-106.1126,18.5,394
181,2017,NY,New York,42.9538,-75.5268,3.7,772
182,2017,NC,North Carolina,35.5557,-79.3877,13.7,"1,430"
183,2017,ND,North Dakota,47.4501,-100.4659,13.2,103
184,2017,OH,Ohio,40.2862,-82.7937,13.7,"1,589"
185,2017,OK,Oklahoma,35.5889,-97.4943,17.2,681
186,2017,OR,Oregon,43.9336,-120.5583,12.1,528
187,2017,PA,Pennsylvania,40.8781,-77.7996,12.5,"1,636"
188,2017,RI,Rhode Island,41.6762,-71.5562,3.9,43
189,2017,SC,South Carolina,33.9169,-80.8964,17.7,893
190,2017,SD,South Dakota,44.4443,-100.2263,11.9,101
191,2017,TN,Tennessee,35.85800000000001,-86.3505,18.4,"1,246"
192,2017,TX,Texas,31.4757,-99.3312,12.4,"3,513"
193,2017,UT,Utah,39.3055,-111.6703,14.0,410
194,2017,VT,Vermont,44.0687,-72.6658,11.7,70
195,2017,VA,Virginia,37.5215,-78.8537,11.9,"1,041"
196,2017,WA,Washington,47.3826,-120.4472,11.1,849
197,2017,WV,West Virginia,38.6409,-80.6227,18.6,348
198,2017,WI,Wisconsin,44.6243,-89.9941,10.6,624
199,2017,WY,Wyoming,42.9957,-107.5512,18.8,113
