title,state_name,ideology,year,city,lat,lon
14 Words Press,North Carolina,White Nationalist,2006,Wilmington,34.21,-77.886
AC Skins,New Jersey,Racist Skinhead,2006,Atlantic City,39.3797,-74.4527
AC Skins,New Jersey,Racist Skinhead,2006,Somers Point,39.3167,-74.6066
Alliance for Catholic Tradition,West Virginia,Radical Traditional Catholicism,2006,Summersville,38.2865,-80.841
America's Promise Ministries,Idaho,Christian Identity,2006,Sandpoint,48.2832,-116.5613
American Border Patrol,Arizona,Anti-Immigrant,2006,Sierra Vista,31.563,-110.3153
American Front,Florida,Racist Skinhead,2006,Orlando,28.4788,-81.342
American Front,California,Racist Skinhead,2006,Sacramento,38.5667,-121.4683
American Immigration Control Foundation / Americans for Immigration Control,Virginia,Anti-Immigrant,2006,Monterey,38.4116,-79.5809
American National Socialist Workers Party,Alabama,Neo-Nazi,2006,Auburn,32.6084,-85.4897
American National Socialist Workers Party,Kentucky,Neo-Nazi,2006,Brooks,38.0661,-85.7176
American National Socialist Workers Party,Missouri,Neo-Nazi,2006,Conway,37.5057,-92.8312
American National Socialist Workers Party,Maryland,Neo-Nazi,2006,Elkridge,39.1941,-76.7427
American National Socialist Workers Party,Michigan,Neo-Nazi,2006,Jackson,42.2431,-84.4038
American National Socialist Workers Party,Georgia,Neo-Nazi,2006,Pembroke,32.1456,-81.6187
American National Socialist Workers Party,Arizona,Neo-Nazi,2006,Phoenix,33.5722,-112.0891
American National Socialist Workers Party,Virginia,Neo-Nazi,2006,Roanoke,37.2785,-79.958
American National Socialist Workers Party,Florida,Neo-Nazi,2006,Sarasota,27.3391,-82.5439
American National Socialist Workers Party,Oklahoma,Neo-Nazi,2006,Tulsa,36.1284,-95.9042
American National Socialist Workers Party,Ohio,Neo-Nazi,2006,Wilmington,39.4387,-83.8184
American Nationalist Union,Pennsylvania,White Nationalist,2006,Allison Park,40.573,-79.9603
American Nazi Party,Michigan,Neo-Nazi,2006,Westland,42.3192,-83.3805
American Reformation Ministries,Arkansas,Christian Identity,2006,Malvern,34.3689,-92.8187
American Renaissance/New Century Foundation,Virginia,White Nationalist,2006,Arlington,38.8786,-77.1011
American Renaissance/New Century Foundation,Illinois,White Nationalist,2006,Chicago,41.8373,-87.6861
American Renaissance/New Century Foundation,Virginia,White Nationalist,2006,Oakton,38.8887,-77.3017
American Thule Society,Pennsylvania,Neo-Nazi,2006,Cleona,40.3385,-76.477
American Thule Society,Virginia,Neo-Nazi,2006,Richmond,37.5295,-77.4756
American Vision,Georgia,Anti-LGBT,2006,Powder Springs,33.866,-84.6838
American White Knights of the KKK,Georgia,Ku Klux Klan,2006,Cordele,31.9563,-83.7694
American White Knights of the KKK,Texas,Ku Klux Klan,2006,San Angelo,31.4426,-100.4501
American White Knights of the KKK,Texas,Ku Klux Klan,2006,Sherman,33.6266,-96.6195
Americans for Self Determination,Virginia,White Nationalist,2006,Falls Church,38.8847,-77.1751
