title,state_name,ideology,year,city,lat,lon
a2z Publications,Nevada,General Hate,2016,Las Vegas,36.2291,-115.2607
Abiding Truth Ministries,Massachusetts,Anti-LGBT,2016,Springfield,42.1155,-72.5395
AC Skins,New Jersey,Racist Skinhead,2016,Atlantic City,39.3797,-74.4527
ACT for America,Louisiana,Anti-Muslim,2016,Baton Rouge,30.4423,-91.1314
ACT for America,Delaware,Anti-Muslim,2016,Bear,39.6188,-75.6804
ACT for America,Massachusetts,Anti-Muslim,2016,Boston,42.3188,-71.0846
ACT for America,Ohio,Anti-Muslim,2016,Cincinnati,39.1412,-84.5059
ACT for America,Ohio,Anti-Muslim,2016,Cleveland,41.4767,-81.6805
ACT for America,Ohio,Anti-Muslim,2016,Columbus,39.986,-82.9852
ACT for America,California,Anti-Muslim,2016,Corona,33.862,-117.5644
ACT for America,Texas,Anti-Muslim,2016,Dallas,32.7937,-96.7662
ACT for America,Iowa,Anti-Muslim,2016,Des Moines,41.5725,-93.6104
ACT for America,Illinois,Anti-Muslim,2016,Des Plaines,42.0344,-87.9008
ACT for America,Michigan,Anti-Muslim,2016,Detroit,42.3834,-83.1024
ACT for America,North Carolina,Anti-Muslim,2016,Fayetteville,35.0846,-78.9776
ACT for America,Michigan,Anti-Muslim,2016,Grand Rapids,42.9615,-85.6557
ACT for America,Florida,Anti-Muslim,2016,Heathrow,28.7754,-81.3721
ACT for America,Texas,Anti-Muslim,2016,Houston,29.7868,-95.3905
ACT for America,Florida,Anti-Muslim,2016,Jacksonville,30.3322,-81.6749
ACT for America,Arkansas,Anti-Muslim,2016,Jonesboro,35.8212,-90.6795
ACT for America,Montana,Anti-Muslim,2016,Kalispell,48.2155,-114.3262
ACT for America,Tennessee,Anti-Muslim,2016,Knoxville,35.9692,-83.9495
ACT for America,Virginia,Anti-Muslim,2016,Leesburg,39.1058,-77.5544
ACT for America,California,Anti-Muslim,2016,Los Angeles,34.1139,-118.4068
ACT for America,Tennessee,Anti-Muslim,2016,Memphis,35.1047,-89.9773
ACT for America,Idaho,Anti-Muslim,2016,Meridian,43.6113,-116.3972
ACT for America,Minnesota,Anti-Muslim,2016,Minneapolis,44.9635,-93.2678
ACT for America,California,Anti-Muslim,2016,Mission Viejo,33.6095,-117.6551
ACT for America,New Hampshire,Anti-Muslim,2016,Nashua,42.7491,-71.491
ACT for America,New York,Anti-Muslim,2016,New York,40.6943,-73.9249
ACT for America,Florida,Anti-Muslim,2016,Palm Beach,26.6852,-80.0403
ACT for America,South Dakota,Anti-Muslim,2016,Rapid City,44.0716,-103.2205
ACT for America,Texas,Anti-Muslim,2016,San Antonio,29.4722,-98.5247
ACT for America,Washington,Anti-Muslim,2016,Spokane Valley,47.6625,-117.2346
ACT for America,Arizona,Anti-Muslim,2016,Tucson,32.1546,-110.8782
ACT for America,Idaho,Anti-Muslim,2016,Twin Falls,42.5645,-114.4611
ACT for America,Virginia,Anti-Muslim,2016,Virginia Beach,36.7335,-76.0435
ACT for America,Montana,Anti-Muslim,2016,Whitehall,45.8709,-112.0975
Active Democracy,District of Columbia,General Hate,2016,Washington,38.9047,-77.0163
Aggressive Christianity,New Mexico,General Hate,2016,Berino,32.0689,-106.6219
Aggressive Christianity,New Mexico,General Hate,2016,Fence Lake,34.669,-108.6801
All Eyes On Egipt Bookstore,Illinois,Black Nationalist,2016,Chicago,41.8373,-87.6861
All Eyes on Egipt Bookstore,Ohio,Black Nationalist,2016,Cleveland,41.4767,-81.6805
All Eyes on Egipt Bookstore,Georgia,Black Nationalist,2016,Decatur,33.7711,-84.2968
All Eyes on Egipt Bookstore,Michigan,Black Nationalist,2016,Detroit,42.3834,-83.1024
All Eyes on Egipt Bookstore,Georgia,Black Nationalist,2016,Monticello,33.3076,-83.6861
All Eyes on Egipt Bookstore,Florida,Black Nationalist,2016,Orlando,28.4788,-81.342
All Eyes On Egipt Bookstore,New York,Black Nationalist,2016,Brooklyn,40.6501,-73.9496
All Eyes On Egypt Bookstore,Georgia,Black Nationalist,2016,Macon,32.8407,-83.6324
Alliance Defending Freedom,Arizona,Anti-LGBT,2016,Scottsdale,33.6872,-111.865
Alternative Right,Georgia,White Nationalist,2016,Atlanta,33.7626,-84.4228
Altra Firearms,Pennsylvania,Anti-Muslim,2016,Jackson Center,41.2731,-80.1397
America First Committee,Illinois,Neo-Nazi,2016,Lyons,41.8121,-87.8192
America's Promise Ministries,Idaho,Christian Identity,2016,Sandpoint,48.2832,-116.5613
American Border Patrol,Arizona,Anti-Immigrant,2016,Sierra Vista,31.563,-110.3153
American Clarion,South Dakota,General Hate,2016,Rapid City,44.0716,-103.2205
American College of Pediatricians,Florida,Anti-LGBT,2016,Gainesville,29.6808,-82.3455
American Constitution Center,Tennessee,Anti-Muslim,2016,Nashville,36.1714,-86.7844
American Defense Records,Kentucky,Hate Music,2016,Lexington,38.0423,-84.4587
American Eagle Party,Tennessee,White Nationalist,2016,Gatlinburg,35.725,-83.4936
American Family Association,Pennsylvania,Anti-LGBT,2016,Franklin,41.3936,-79.8425
American Family Association,Mississippi,Anti-LGBT,2016,Tupelo,34.2691,-88.7318
American Free Press,District of Columbia,General Hate,2016,Washington,38.9047,-77.0163
American Freedom Alliance,California,Anti-Muslim,2016,Los Angeles,34.1139,-118.4068
American Freedom Defense Initiative,New York,Anti-Muslim,2016,New York,40.6943,-73.9249
American Freedom Law Center,Michigan,Anti-Muslim,2016,Ann Arbor,42.2755,-83.7312
American Freedom Party,Texas,White Nationalist,2016,Granbury,32.4483,-97.7685
American Freedom Party,North Dakota,White Nationalist,2016,Grand Forks,47.9223,-97.0887
American Freedom Party,California,White Nationalist,2016,Los Angeles,34.1139,-118.4068
American Freedom Party,New York,White Nationalist,2016,New York,40.6943,-73.9249
American Immigration Control Foundation/Americans for Immigration Control,Virginia,Anti-Immigrant,2016,Monterey,38.4116,-79.5809
American Nazi Party,Michigan,Neo-Nazi,2016,Westland,42.3192,-83.3805
American Renaissance/New Century Foundation,Virginia,White Nationalist,2016,Oakton,38.8887,-77.3017
American Security Rally of Montana,Montana,Anti-Muslim,2016,Helena,46.5964,-112.0197
American Vanguard,Washington,White Nationalist,2016,Bremerton,47.5436,-122.7122
American Vanguard,California,White Nationalist,2016,Huntington Beach,33.696,-118.0025
American Vanguard,Florida,White Nationalist,2016,Orlando,28.4788,-81.342
American Vikings,Indiana,Racist Skinhead,2016,Indianapolis,39.7771,-86.1458
American Vision,Georgia,Anti-LGBT,2016,Powder Springs,33.866,-84.6838
Americans for Legal Immigration (ALIPAC),North Carolina,Anti-Immigrant,2016,Raleigh,35.8323,-78.6439
Americans for Truth About Homosexuality,Illinois,Anti-LGBT,2016,Naperville,41.7483,-88.1657
Aryan Nations,Louisiana,Neo-Nazi,2016,Converse,31.7795,-93.7001
Aryan Nations Sadistic Souls MC,Missouri,Neo-Nazi,2016,Grovespring,37.3998,-92.6096
Aryan Nations Sadistic Souls MC,Illinois,Neo-Nazi,2016,Taylorville,39.5328,-89.2804
Aryan Nations Sadistic Souls MC,Illinois,Neo-Nazi,2016,Wood River,38.8633,-90.0773
Aryan Nations Sadistic Souls MC,Illinois,Neo-Nazi,2016,Canton,40.5632,-90.0409
Aryan Nations Worldwide,Georgia,Neo-Nazi,2016,Villa Rica,33.7305,-84.917
Aryan Renaissance Society,New York,Neo-Nazi,2016,New York,40.6943,-73.9249
Aryan Strikeforce,New Jersey,Racist Skinhead,2016,Phillipsburg,40.6895,-75.1821
As-Sabiqun,California,General Hate,2016,Los Angeles,34.1139,-118.4068
As-Sabiqun,California,General Hate,2016,Oakland,37.7903,-122.2165
As-Sabiqun,Pennsylvania,General Hate,2016,Philadelphia,40.0076,-75.134
As-Sabiqun,California,General Hate,2016,Sacramento,38.5667,-121.4683
As-Sabiqun,California,General Hate,2016,San Diego,32.8312,-117.1226
As-Sabiqun,District of Columbia,General Hate,2016,Washington,38.9047,-77.0163
ATLAH World Missionary Church (All The Land Anointed Holy),New York,Anti-LGBT,2016,New York,40.6943,-73.9249
Atomwaffen Division,Texas,Neo-Nazi,2016,San Antonio,29.4722,-98.5247
Bare Naked Islam,California,Anti-Muslim,2016,Marina del Rey,33.9765,-118.4486
"Barnes Review/Foundation for Economic Liberty, Inc.",Maryland,Holocaust Denial,2016,Upper Marlboro,38.8172,-76.7546
Behold Barbarity Records & Distro,Minnesota,Hate Music,2016,Plymouth,45.0224,-93.4615
Black Riders Liberation Party,Illinois,Black Nationalist,2016,Chicago,41.8373,-87.6861
Black Riders Liberation Party,Michigan,Black Nationalist,2016,Detroit,42.3834,-83.1024
Black Riders Liberation Party,California,Black Nationalist,2016,Los Angeles,34.1139,-118.4068
Black Riders Liberation Party,Florida,Black Nationalist,2016,Miami,25.784,-80.2102
Black Riders Liberation Party,New York,Black Nationalist,2016,New York,40.6943,-73.9249
Black Riders Liberation Party,California,Black Nationalist,2016,Oakland,37.7903,-122.2165
Black Riders Liberation Party,Oregon,Black Nationalist,2016,Portland,45.5372,-122.65
Black Riders Liberation Party,California,Black Nationalist,2016,San Diego,32.8312,-117.1226
Blood and Honour Social Club,North Carolina,Racist Skinhead,2016,Greensboro,36.0956,-79.8269
Blood and Honour Social Club,New York,Racist Skinhead,2016,New York,40.6943,-73.9249
Bob's Underground Graduate Seminar/BUGS,South Carolina,White Nationalist,2016,Columbia,34.037,-80.9042
Bomb Islam,Arizona,Anti-Muslim,2016,Phoenix,33.5722,-112.0891
Borderkeepers of Alabama,Alabama,Anti-Immigrant,2016,Birmingham,33.5276,-86.7988
Bosch Fawstin,New York,Anti-Muslim,2016,New York,40.6943,-73.9249
The Brother Nathanael Foundation,Colorado,General Hate,2016,Frisco,39.5793,-106.0919
Bureau on American Islamic Relations,Texas,Anti-Muslim,2016,Irving,32.8584,-96.9702
Californians for Population Stabilization,California,Anti-Immigrant,2016,Santa Barbara,34.4285,-119.7202
Campaign for Radical Truth in History,Idaho,Holocaust Denial,2016,Coeur d'Alene,47.7039,-116.7933
The Campus Ministry USA,Indiana,Anti-LGBT,2016,Terre Haute,39.4654,-87.3763
carolynyeager.net,Texas,Holocaust Denial,2016,Kerrville,30.0399,-99.1319
Catholic Counterpoint,Pennsylvania,Radical Traditional Catholicism,2016,Broomall,39.9694,-75.3529
"Catholic Family News/Catholic Family Ministries, Inc.",New York,Radical Traditional Catholicism,2016,Niagara Falls,43.0921,-79.0147
Center for Family and Human Rights (C-FAM),New York,Anti-LGBT,2016,New York,40.6943,-73.9249
Center for Family and Human Rights (C-FAM),District of Columbia,Anti-LGBT,2016,Washington,38.9047,-77.0163
Center for Immigration Studies,District of Columbia,Anti-Immigrant,2016,Washington,38.9047,-77.0163
