title,state_name,ideology,year,city,lat,lon
11th Hour Remnant Messenger,Idaho,Christian Identity,2000,Sandpoint,48.2832,-116.5613
2YT4U,Michigan,Racist Skinhead,2000,Ferndale,42.4592,-83.1314
88 Enterprises,Ohio,General Hate,2000,Canton,40.8076,-81.3677
Alabama White Knights of the KKK,Alabama,Ku Klux Klan,2000,Anniston,33.6713,-85.8136
Alabama White Knights of the KKK,Alabama,Ku Klux Klan,2000,Birmingham,33.5276,-86.7988
Alabama White Knights of the KKK,Alabama,Ku Klux Klan,2000,Clanton,32.8439,-86.623
Alabama White Knights of the KKK,Alabama,Ku Klux Klan,2000,Gadsden,34.009,-86.0156
Alabama White Knights of the KKK,Alabama,Ku Klux Klan,2000,Jasper,33.8514,-87.2719
Alabama White Knights of the KKK,Alabama,Ku Klux Klan,2000,Moody,33.5986,-86.4963
Alabama White Knights of the KKK,Alabama,Ku Klux Klan,2000,Pelham,33.3116,-86.7573
Alabama White Knights of the KKK,Alabama,Ku Klux Klan,2000,Satsuma,30.8578,-88.0632
Alabama White Knights of the KKK,Alabama,Ku Klux Klan,2000,Springville,33.7643,-86.4749
Alabama White Knights of the KKK,Alabama,Ku Klux Klan,2000,Valley,32.8086,-85.1792
Alabama White Knights of the KKK,Alabama,Ku Klux Klan,2000,Wilton,33.0813,-86.8799
America's Invisible Empire Knights of the KKK,Louisiana,Christian Identity,2000,Alexandria,31.2923,-92.4702
America's Invisible Empire Knights of the KKK,Alabama,Christian Identity,2000,Eva,34.3274,-86.7614
America's Invisible Empire Knights of the KKK,Alabama,Christian Identity,2000,Hartselle,34.4391,-86.94
America's Invisible Empire Knights of the KKK,Alabama,Christian Identity,2000,Midland City,31.3157,-85.4937
America's Promise Ministries,Idaho,Christian Identity,2000,Sandpoint,48.2832,-116.5613
American Friends of the British National Party,Virginia,General Hate,2000,Falls Church,38.8847,-77.1751
American Front,Arkansas,Racist Skinhead,2000,Harrison,36.2437,-93.1197
American Immigration Control Foundation / Americans for Immigration Control,Virginia,Anti-Immigrant,2000,Monterey,38.4116,-79.5809
