title,state_name,ideology,year,city,lat,lon
"Barnes Review/Foundation for Economic Liberty, Inc.",District of Columbia,Holocaust Denial,2008,Washington,38.9047,-77.0163
"Catholic Family News/Catholic Family Ministries, Inc.",New York,Radical Traditional Catholicism,2008,Niagara Falls,43.0921,-79.0147
The International Conspiratological Association,Idaho,Holocaust Denial,2008,Coeur d'Alene,47.7039,-116.7933
Abiding Truth Ministries,California,Anti-LGBT,2008,Temecula,33.4928,-117.1314
AC Skins,New Jersey,Racist Skinhead,2008,Absecon,39.4228,-74.4944
AC Skins,New Jersey,Racist Skinhead,2008,Atlantic City,39.3797,-74.4527
AC Skins,New Jersey,Racist Skinhead,2008,Somers Point,39.3167,-74.6066
AC Skins,New Jersey,Racist Skinhead,2008,Wildwood,38.9877,-74.8188
Alabama Christian Klan,Alabama,Ku Klux Klan,2008,Birmingham,33.5276,-86.7988
Alliance for Catholic Tradition,Pennsylvania,Radical Traditional Catholicism,2008,Pleasant Unity,40.2395,-79.4509
America's Promise Ministries,Idaho,Christian Identity,2008,Sandpoint,48.2832,-116.5613
American Border Patrol,Arizona,Anti-Immigrant,2008,Sierra Vista,31.563,-110.3153
American Free Press,District of Columbia,General Hate,2008,Washington,38.9047,-77.0163
American Front,California,Racist Skinhead,2008,Sacramento,38.5667,-121.4683
American Immigration Control Foundation/Americans for Immigration Control,Virginia,Anti-Immigrant,2008,Monterey,38.4116,-79.5809
American National Socialist Workers Party,Alabama,Neo-Nazi,2008,Birmingham,33.5276,-86.7988
American National Socialist Workers Party,West Virginia,Neo-Nazi,2008,Charleston,38.3484,-81.6323
American National Socialist Workers Party,Illinois,Neo-Nazi,2008,Chicago,41.8373,-87.6861
American National Socialist Workers Party,North Carolina,Neo-Nazi,2008,Henderson,36.3259,-78.4155
American National Socialist Workers Party,Texas,Neo-Nazi,2008,Ingram,30.0773,-99.2381
American National Socialist Workers Party,Michigan,Neo-Nazi,2008,Jackson,42.2431,-84.4038
American National Socialist Workers Party,Indiana,Neo-Nazi,2008,Jeffersonville,38.3377,-85.7026
American National Socialist Workers Party,Kansas,Neo-Nazi,2008,Kansas City,39.1234,-94.7443
American National Socialist Workers Party,Missouri,Neo-Nazi,2008,Lockwood,37.3867,-93.9579
American National Socialist Workers Party,Kentucky,Neo-Nazi,2008,Louisville,38.1662,-85.6488
American National Socialist Workers Party,Montana,Neo-Nazi,2008,Missoula,46.8685,-114.0094
American National Socialist Workers Party,Indiana,Neo-Nazi,2008,Muncie,40.1989,-85.395
American National Socialist Workers Party,New Jersey,Neo-Nazi,2008,Newark,40.7245,-74.1725
American National Socialist Workers Party,Virginia,Neo-Nazi,2008,Norfolk,36.8945,-76.259
American National Socialist Workers Party,Illinois,Neo-Nazi,2008,Peoria,40.752,-89.6155
American National Socialist Workers Party,Arizona,Neo-Nazi,2008,Phoenix,33.5722,-112.0891
American National Socialist Workers Party,Virginia,Neo-Nazi,2008,Roanoke,37.2785,-79.958
American National Socialist Workers Party,Utah,Neo-Nazi,2008,Salt Lake City,40.7774,-111.9301
American National Socialist Workers Party,Florida,Neo-Nazi,2008,Sarasota,27.3391,-82.5439
American National Socialist Workers Party,Washington,Neo-Nazi,2008,Seattle,47.6211,-122.3244
American National Socialist Workers Party,Oklahoma,Neo-Nazi,2008,Tulsa,36.1284,-95.9042
American National Socialist Workers Party,Georgia,Neo-Nazi,2008,Villa Rica,33.7305,-84.917
American National Socialist Workers Party,South Carolina,Neo-Nazi,2008,Westminster,34.6657,-83.0911
American National Socialist Workers Party,Ohio,Neo-Nazi,2008,Wilmington,39.4387,-83.8184
American National Socialist Workers Party,Delaware,Neo-Nazi,2008,Wilmington,39.7415,-75.5413
American National Socialist Workers Party,Pennsylvania,Neo-Nazi,2008,York,39.9651,-76.7315
American Nationalist Union,Nevada,White Nationalist,2008,Las Vegas,36.2291,-115.2607
American Nazi Party,Michigan,Neo-Nazi,2008,Westland,42.3192,-83.3805
American Reformation Ministries,Arkansas,Christian Identity,2008,Malvern,34.3689,-92.8187
American Renaissance/New Century Foundation,Virginia,White Nationalist,2008,Arlington,38.8786,-77.1011
