,year,code,state,lat,lon,RATE,DEATHS
88,2015,RI,Rhode Island,41.6762,-71.5562,11.2,127
89,2015,SC,South Carolina,33.9169,-80.8964,14.8,742
90,2015,SD,South Dakota,44.4443,-100.2263,20.4,173
91,2015,TN,Tennessee,35.85800000000001,-86.3505,15.7,"1,068"
92,2015,TX,Texas,31.4757,-99.3312,12.5,"3,403"
93,2015,UT,Utah,39.3055,-111.6703,22.4,630
94,2015,VT,Vermont,44.0687,-72.6658,14.8,103
95,2015,VA,Virginia,37.5215,-78.8537,12.7,"1,118"
96,2015,WA,Washington,47.3826,-120.4472,15.4,"1,137"
97,2015,WV,West Virginia,38.6409,-80.6227,17.4,340
98,2015,WI,Wisconsin,44.6243,-89.9941,14.7,877
99,2015,WY,Wyoming,42.9957,-107.5512,28.0,157
100,2016,AL,Alabama,32.7794,-86.8287,15.7,788
101,2016,AK,Alaska,64.0685,-152.2782,25.8,193
102,2016,AZ,Arizona,34.2744,-111.6602,17.7,"1,271"
103,2016,AR,Arkansas,34.8938,-92.4426,18.2,555
104,2016,CA,California,37.1841,-119.4696,10.5,"4,294"
105,2016,CO,Colorado,38.9972,-105.5478,20.5,"1,168"
106,2016,CT,Connecticut,41.6219,-72.7273,10.1,397
107,2016,DE,Delaware,38.9896,-75.505,11.5,119
108,2016,FL,Florida,28.6305,-82.4497,14.0,"3,143"
109,2016,GA,Georgia,32.6415,-83.4426,13.3,"1,409"
110,2016,HI,Hawaii,20.2927,-156.3737,12.1,174
111,2016,ID,Idaho,44.3509,-114.613,21.4,351
112,2016,IL,Illinois,40.0417,-89.1965,10.7,"1,415"
113,2016,IN,Indiana,39.8942,-86.2816,15.4,"1,034"
114,2016,IA,Iowa,42.0751,-93.496,14.6,451
115,2016,KS,Kansas,38.4937,-98.3804,17.9,514
116,2016,KY,Kentucky,37.5347,-85.3021,16.8,756
117,2016,LA,Louisiana,31.0689,-91.9968,14.2,677
118,2016,ME,Maine,45.3695,-69.2428,15.9,226
119,2016,MD,Maryland,39.055,-76.7909,9.4,586
120,2016,MA,Massachusetts,42.2596,-71.8083,8.8,631
121,2016,MI,Michigan,44.3467,-85.4102,13.3,"1,364"
122,2016,MN,Minnesota,46.2807,-94.3053,13.2,745
123,2016,MS,Mississippi,32.7364,-89.6678,12.7,383
124,2016,MO,Missouri,38.3566,-92.458,18.4,"1,133"
125,2016,MT,Montana,47.0527,-109.6333,25.9,267
126,2016,NE,Nebraska,41.5378,-99.7951,13.1,246
127,2016,NV,Nevada,39.3289,-116.6312,21.4,650
128,2016,NH,New Hampshire,43.6805,-71.5811,17.2,244
129,2016,NJ,New Jersey,40.1907,-74.6728,7.2,687
130,2016,NM,New Mexico,34.4071,-106.1126,22.5,471
131,2016,NY,New York,42.9538,-75.5268,8.1,"1,679"
132,2016,NC,North Carolina,35.5557,-79.3877,13.0,"1,373"
133,2016,ND,North Dakota,47.4501,-100.4659,19.0,140
134,2016,OH,Ohio,40.2862,-82.7937,14.2,"1,707"
