title,state_name,ideology,year,city,lat,lon
11th Hour Remnant Messenger,New Mexico,Christian Identity,2010,Santa Fe,35.6619,-105.9819
9/11 Christian Center at Ground Zero,New York,Anti-Muslim,2010,New York,40.6943,-73.9249
a2z Publications,Nevada,General Hate,2010,Las Vegas,36.2291,-115.2607
Abiding Truth Ministries,Massachusetts,Anti-LGBT,2010,Springfield,42.1155,-72.5395
Abundant Life Fellowship,Indiana,Christian Identity,2010,Morgantown,39.3729,-86.2585
AC Skins,New Jersey,Racist Skinhead,2010,Absecon,39.4228,-74.4944
AC Skins,New Jersey,Racist Skinhead,2010,Atlantic City,39.3797,-74.4527
AC Skins,New Jersey,Racist Skinhead,2010,Browns Mills,39.9737,-74.569
AC Skins,New Jersey,Racist Skinhead,2010,Linwood,39.3435,-74.5708
AC Skins,New Jersey,Racist Skinhead,2010,Marlton,39.9016,-74.9297
AC Skins,New Jersey,Racist Skinhead,2010,Somers Point,39.3167,-74.6066
AC Skins,New Jersey,Racist Skinhead,2010,Wildwood,38.9877,-74.8188
AC Skins,New Jersey,Racist Skinhead,2010,Woodbine,39.2283,-74.8095
Alliance for Catholic Tradition,Pennsylvania,Radical Traditional Catholicism,2010,Pleasant Unity,40.2395,-79.4509
America's Promise Ministries,Idaho,Christian Identity,2010,Sandpoint,48.2832,-116.5613
American Border Patrol,Arizona,Anti-Immigrant,2010,Sierra Vista,31.563,-110.3153
American Family Association,Mississippi,Anti-LGBT,2010,Tupelo,34.2691,-88.7318
American Free Press,District of Columbia,General Hate,2010,Washington,38.9047,-77.0163
American Front,New Jersey,Racist Skinhead,2010,Hackensack,40.889,-74.0461
American Front,New Jersey,Racist Skinhead,2010,Haledon,40.9363,-74.1887
American Front,New Jersey,Racist Skinhead,2010,Roselle,40.6527,-74.2599
American Front,California,Racist Skinhead,2010,Sacramento,38.5667,-121.4683
American Immigration Control Foundation/Americans for Immigration Control,Virginia,Anti-Immigrant,2010,Monterey,38.4116,-79.5809
American National Socialist Party,Florida,Neo-Nazi,2010,Bonita Springs,26.3559,-81.7861
American National Socialist Party,California,Neo-Nazi,2010,Corning,39.9282,-122.182
American National Socialist Party,Washington,Neo-Nazi,2010,Milton,47.2522,-122.3154
American National Socialist Party,Ohio,Neo-Nazi,2010,Chillicothe,39.3393,-82.9937
American Nationalist Union,Nevada,White Nationalist,2010,Las Vegas,36.2291,-115.2607
American Nazi Party,Michigan,Neo-Nazi,2010,Westland,42.3192,-83.3805
American Renaissance/New Century Foundation,Virginia,White Nationalist,2010,Arlington,38.8786,-77.1011
American Renaissance/New Century Foundation,Illinois,White Nationalist,2010,Chicago,41.8373,-87.6861
American Renaissance/New Century Foundation,Virginia,White Nationalist,2010,Oakton,38.8887,-77.3017
American Third Position,New Hampshire,White Nationalist,2010,Ashland,43.6956,-71.6335
American Third Position,California,White Nationalist,2010,San Diego,32.8312,-117.1226
American Third Position,New Jersey,White Nationalist,2010,Butler,40.9989,-74.3472
American Third Position,California,White Nationalist,2010,Westminster,33.7523,-117.9938
American Vision,Georgia,Anti-LGBT,2010,Powder Springs,33.866,-84.6838
Americans for Truth About Homosexuality,Illinois,Anti-LGBT,2010,Naperville,41.7483,-88.1657
Artisan Publishers,Oklahoma,General Hate,2010,Muskogee,35.743,-95.3566
Aryan Nations,New Jersey,Neo-Nazi,2010,Wanaque,41.044,-74.29
Aryan Nations,South Carolina,Neo-Nazi,2010,Lexington,33.9866,-81.222
Aryan Nations 88,Alabama,Neo-Nazi,2010,Ashland,33.2704,-85.8337
Aryan Nations 88,Idaho,Neo-Nazi,2010,Boise,43.6006,-116.2316
Aryan Nations 88,Florida,Neo-Nazi,2010,Bonita Springs,26.3559,-81.7861
Aryan Nations 88,South Carolina,Neo-Nazi,2010,Charleston,32.8137,-79.9643
Aryan Nations 88,Missouri,Neo-Nazi,2010,Florissant,38.7996,-90.3269
Aryan Nations 88,Minnesota,Neo-Nazi,2010,Isle,46.1398,-93.4597
Aryan Nations 88,New Jersey,Neo-Nazi,2010,North Bergen,40.8043,-74.0121
Aryan Nations 88,California,Neo-Nazi,2010,Poway,32.9871,-117.0201
Aryan Nations 88,Maryland,Neo-Nazi,2010,Sharpsburg,39.4576,-77.7496
Aryan Nations 88,North Carolina,Neo-Nazi,2010,Spencer,35.6988,-80.4249
Aryan Nations 88,Georgia,Neo-Nazi,2010,Statesboro,32.4376,-81.775
Aryan Nations 88,Washington,Neo-Nazi,2010,Tacoma,47.2431,-122.4531
Aryan Nations 88,Texas,Neo-Nazi,2010,Wills Point,32.7093,-96.0052
Aryan Nations 88,Delaware,Neo-Nazi,2010,Wilmington,39.7415,-75.5413
Aryan Nations 88,Louisiana,Neo-Nazi,2010,Calhoun,32.5153,-92.3539
Aryan Nations 88,Ohio,Neo-Nazi,2010,Chillicothe,39.3393,-82.9937
Aryan Nations Knights of the KKK,Maryland,Ku Klux Klan,2010,Sharpsburg,39.4576,-77.7496
