title,state_name,ideology,year,city,lat,lon
11th Hour Remnant Messenger,New Mexico,Christian Identity,2013,Santa Fe,35.6619,-105.9819
9/11 Christian Center at Ground Zero,New York,Anti-Muslim,2013,New York,40.6943,-73.9249
a2z Publications,Nevada,General Hate,2013,Las Vegas,36.2291,-115.2607
Abiding Truth Ministries,Massachusetts,Anti-LGBT,2013,Springfield,42.1155,-72.5395
Abundant Life Fellowship,Indiana,Christian Identity,2013,Morgantown,39.3729,-86.2585
AC Skins,New Jersey,Racist Skinhead,2013,Absecon,39.4228,-74.4944
AC Skins,New Jersey,Racist Skinhead,2013,Atlantic City,39.3797,-74.4527
AC Skins,New Jersey,Racist Skinhead,2013,Brigantine,39.4138,-74.3787
AC Skins,New Jersey,Racist Skinhead,2013,Browns Mills,39.9737,-74.569
AC Skins,New Jersey,Racist Skinhead,2013,Marlton,39.9016,-74.9297
AC Skins,New Jersey,Racist Skinhead,2013,Mays Landing,39.4524,-74.7241
AC Skins,New Jersey,Racist Skinhead,2013,Pine Hill,39.7879,-74.9857
AC Skins,New Jersey,Racist Skinhead,2013,Somers Point,39.3167,-74.6066
AC Skins,New Jersey,Racist Skinhead,2013,Wildwood,38.9877,-74.8188
AC Skins,New Jersey,Racist Skinhead,2013,Woodbine,39.2283,-74.8095
Agenda21Today,Florida,General Hate,2013,Shady Grove,30.288,-83.6318
Aggressive Christianity,New Mexico,General Hate,2013,Berino,32.0689,-106.6219
Aggressive Christianity,New Mexico,General Hate,2013,Fence Lake,34.669,-108.6801
All Eyes On Egypt Bookstore,Georgia,Black Nationalist,2013,Macon,32.8407,-83.6324
All Eyes on Egypt Bookstore,Georgia,Black Nationalist,2013,Milledgeville,33.0874,-83.2414
Alliance for Catholic Tradition,Pennsylvania,Radical Traditional Catholicism,2013,Pleasant Unity,40.2395,-79.4509
Alternative Right,Montana,White Nationalist,2013,Whitefish,48.4332,-114.3592
America's Promise Ministries,Idaho,Christian Identity,2013,Sandpoint,48.2832,-116.5613
American Border Patrol,Arizona,Anti-Immigrant,2013,Sierra Vista,31.563,-110.3153
American College of Pediatricians,Florida,Anti-LGBT,2013,Gainesville,29.6808,-82.3455
American Family Association,Pennsylvania,Anti-LGBT,2013,Franklin,41.3936,-79.8425
American Family Association,Mississippi,Anti-LGBT,2013,Tupelo,34.2691,-88.7318
American Free Press,District of Columbia,General Hate,2013,Washington,38.9047,-77.0163
American Freedom Defense Initiative,New York,Anti-Muslim,2013,New York,40.6943,-73.9249
American Freedom Party,Texas,White Nationalist,2013,Granbury,32.4483,-97.7685
American Freedom Party,North Dakota,White Nationalist,2013,Grand Forks,47.9223,-97.0887
American Freedom Party,Florida,White Nationalist,2013,Jacksonville,30.3322,-81.6749
American Freedom Party,Nevada,White Nationalist,2013,Las Vegas,36.2291,-115.2607
American Freedom Party,California,White Nationalist,2013,Los Angeles,34.1139,-118.4068
American Freedom Party,New York,White Nationalist,2013,New York,40.6943,-73.9249
American Front,New Jersey,Racist Skinhead,2013,Hackensack,40.889,-74.0461
American Front,New Jersey,Racist Skinhead,2013,Haledon,40.9363,-74.1887
American Front,Florida,Racist Skinhead,2013,Lynn Haven,30.2361,-85.6389
American Front,New Jersey,Racist Skinhead,2013,Roselle,40.6527,-74.2599
American Front,California,Racist Skinhead,2013,Sacramento,38.5667,-121.4683
American Immigration Control Foundation/Americans for Immigration Control,Virginia,Anti-Immigrant,2013,Monterey,38.4116,-79.5809
American Nationalist Association,California,White Nationalist,2013,Porterville,36.0644,-119.0337
American Nationalist Union,Nevada,White Nationalist,2013,Las Vegas,36.2291,-115.2607
American Nazi Party,California,Neo-Nazi,2013,Rialto,34.1128,-117.3885
American Nazi Party,Michigan,Neo-Nazi,2013,Westland,42.3192,-83.3805
American Renaissance/New Century Foundation,Virginia,White Nationalist,2013,Arlington,38.8786,-77.1011
American Renaissance/New Century Foundation,Virginia,White Nationalist,2013,Oakton,38.8887,-77.3017
American Vision,Georgia,Anti-LGBT,2013,Powder Springs,33.866,-84.6838
Americans for Legal Immigration (ALIPAC),North Carolina,Anti-Immigrant,2013,Raleigh,35.8323,-78.6439
Americans for Truth About Homosexuality,Illinois,Anti-LGBT,2013,Naperville,41.7483,-88.1657
Artisan Publishers,Oklahoma,General Hate,2013,Muskogee,35.743,-95.3566
