title,state_name,ideology,year,city,lat,lon
11th Hour Remnant Messenger,New Mexico,Christian Identity,2014,Santa Fe,35.6619,-105.9819
a2z Publications,Nevada,General Hate,2014,Las Vegas,36.2291,-115.2607
Abiding Truth Ministries,Massachusetts,Anti-LGBT,2014,Springfield,42.1155,-72.5395
Aggressive Christianity,New Mexico,General Hate,2014,Fence Lake,34.669,-108.6801
All Eyes on Egypt Bookstore,Georgia,Black Nationalist,2014,Milledgeville,33.0874,-83.2414
Alliance for Catholic Tradition,Pennsylvania,Radical Traditional Catholicism,2014,Pleasant Unity,40.2395,-79.4509
Alternative Right,Georgia,White Nationalist,2014,Atlanta,33.7626,-84.4228
America's Promise Ministries,Idaho,Christian Identity,2014,Sandpoint,48.2832,-116.5613
American Border Patrol,Arizona,Anti-Immigrant,2014,Sierra Vista,31.563,-110.3153
American College of Pediatricians,Florida,Anti-LGBT,2014,Gainesville,29.6808,-82.3455
The American Defence League,New York,Anti-Muslim,2014,New York,40.6943,-73.9249
American Family Association,Mississippi,Anti-LGBT,2014,Tupelo,34.2691,-88.7318
American Free Press,District of Columbia,General Hate,2014,Washington,38.9047,-77.0163
American Freedom Defense Initiative,New York,Anti-Muslim,2014,New York,40.6943,-73.9249
American Front,California,Racist Skinhead,2014,Sacramento,38.5667,-121.4683
American Immigration Control Foundation/Americans for Immigration Control,Virginia,Anti-Immigrant,2014,Monterey,38.4116,-79.5809
American Nationalist Union,Nevada,White Nationalist,2014,Las Vegas,36.2291,-115.2607
American Nazi Party,Michigan,Neo-Nazi,2014,Westland,42.3192,-83.3805
American Renaissance/New Century Foundation,Virginia,White Nationalist,2014,Oakton,38.8887,-77.3017
American Vision,Georgia,Anti-LGBT,2014,Powder Springs,33.866,-84.6838
Americans for Truth About Homosexuality,Illinois,Anti-LGBT,2014,Naperville,41.7483,-88.1657
Americans Have Had Enough,South Carolina,Anti-Immigrant,2014,Mauldin,34.7864,-82.2996
Artisan Publishers,Oklahoma,General Hate,2014,Muskogee,35.743,-95.3566
Aryan Nations Knights of the KKK,Louisiana,Ku Klux Klan,2014,Converse,31.7795,-93.7001
Aryan Nations,Louisiana,Neo-Nazi,2014,Converse,31.7795,-93.7001
Aryan Nations,Ohio,Neo-Nazi,2014,Bainbridge,39.2265,-83.2695
Aryan Strikeforce,New Jersey,Racist Skinhead,2014,Somerville,40.5696,-74.6092
Aryan Wear,Texas,White Nationalist,2014,Keller,32.9337,-97.2255
As-Sabiqun,District of Columbia,General Hate,2014,Washington,38.9047,-77.0163
ATLAH World Missionary Church (All The Land Anointed Holy),New York,Anti-LGBT,2014,New York,40.6943,-73.9249
Atlas Shrugs,New York,Anti-Muslim,2014,New York,40.6943,-73.9249
Bare Naked Islam,California,Anti-Muslim,2014,Marina del Rey,33.9765,-118.4486
"Barnes Review/Foundation for Economic Liberty, Inc.",District of Columbia,Holocaust Denial,2014,Washington,38.9047,-77.0163
Battalion 14,Michigan,Neo-Nazi,2014,Jackson,42.2431,-84.4038
Black Riders Liberation Party,California,Black Nationalist,2014,Los Angeles,34.1139,-118.4068
Blood and Honour U.S.A,Texas,Racist Skinhead,2014,Richardson,32.9717,-96.7092
Bob's Underground Graduate Seminar/BUGS,South Carolina,White Nationalist,2014,Columbia,34.037,-80.9042
National Coalition for Immigration Reform (formerly California Coalition for Immigration Reform),California,Anti-Immigrant,2014,Huntington Beach,33.696,-118.0025
carolynyeager.net,Texas,Holocaust Denial,2014,Kerrville,30.0399,-99.1319
Catholic Action Resource Center,Florida,Radical Traditional Catholicism,2014,Orlando,28.4788,-81.342
Catholic Counterpoint,Pennsylvania,Radical Traditional Catholicism,2014,Broomall,39.9694,-75.3529
"Catholic Family News/Catholic Family Ministries, Inc.",New York,Radical Traditional Catholicism,2014,Niagara Falls,43.0921,-79.0147
Chalcedon Foundation,California,Anti-LGBT,2014,Vallecito,38.074,-120.4563
Christ the King Church,Colorado,Anti-LGBT,2014,Larkspur,39.2318,-104.8926
Christian Action Network,Virginia,Anti-Muslim,2014,Forest,37.3728,-79.2831
Christian Anti-Defamation Commission,California,General Hate,2014,Vista,33.1895,-117.2387
Christian Defense League,Louisiana,Neo-Nazi,2014,Mandeville,30.375,-90.0906
Christian Guardians,California,Anti-Muslim,2014,San Francisco,37.7562,-122.443
The church at Kaweah,California,General Hate,2014,Three Rivers,36.4319,-118.8806
Church of the Sons of YHVH,Louisiana,Christian Identity,2014,Converse,31.7795,-93.7001
Citizen Warrior,Tennessee,Anti-Muslim,2014,Nashville,36.1714,-86.7844
Citizens for National Security,Florida,Anti-Muslim,2014,Boca Raton,26.3749,-80.1077
Concerned Citizens and Friends of Illegal Immigration Law Enforcement,Massachusetts,General Hate,2014,Framingham,42.3085,-71.4368
Confederate Hammerskins,Florida,Racist Skinhead,2014,Orlando,28.4788,-81.342
Confederate Patriot Voters United,Mississippi,White Nationalist,2014,Baldwyn,34.5071,-88.6416
"Conservative Citizens Foundation, Inc.",Missouri,White Nationalist,2014,Saint Louis,38.6358,-90.2451
Council for Social and Economic Studies,District of Columbia,White Nationalist,2014,Washington,38.9047,-77.0163
Counter Jihad Coalition,California,Anti-Muslim,2014,Santa Monica,34.0232,-118.4813
Counter-Currents Publishing,California,White Nationalist,2014,San Diego,32.8312,-117.1226
Covenant People's Ministry,Georgia,Christian Identity,2014,Brooks,33.2925,-84.4588
The Creativity Movement,Illinois,Neo-Nazi,2014,Bloomington,40.4757,-88.9705
Culture Wars/Fidelity Press,Indiana,Radical Traditional Catholicism,2014,South Bend,41.6771,-86.2692
The Dakota Voice,South Dakota,General Hate,2014,Rapid City,44.0716,-103.2205
Desastrious Records,Texas,Hate Music,2014,Springtown,32.9695,-97.6805
