title,state_name,ideology,year,city,lat,lon
AC Skins,New Jersey,Racist Skinhead,2007,Atlantic City,39.3797,-74.4527
AC Skins,New Jersey,Racist Skinhead,2007,Somers Point,39.3167,-74.6066
Alliance for Catholic Tradition,Pennsylvania,Radical Traditional Catholicism,2007,Pleasant Unity,40.2395,-79.4509
America's Promise Ministries,Idaho,Christian Identity,2007,Sandpoint,48.2832,-116.5613
American Border Patrol,Arizona,Anti-Immigrant,2007,Sierra Vista,31.563,-110.3153
American Free Press,District of Columbia,General Hate,2007,Washington,38.9047,-77.0163
American Front,California,Racist Skinhead,2007,Sacramento,38.5667,-121.4683
American Immigration Control Foundation / Americans for Immigration Control,Virginia,Anti-Immigrant,2007,Monterey,38.4116,-79.5809
American National Socialist Workers Party,Alabama,Neo-Nazi,2007,Auburn,32.6084,-85.4897
American National Socialist Workers Party,Kentucky,Neo-Nazi,2007,Brooks,38.0661,-85.7176
American National Socialist Workers Party,Texas,Neo-Nazi,2007,Ingram,30.0773,-99.2381
American National Socialist Workers Party,Michigan,Neo-Nazi,2007,Jackson,42.2431,-84.4038
American National Socialist Workers Party,Ohio,Neo-Nazi,2007,Jamestown,39.6598,-83.7422
American National Socialist Workers Party,Kansas,Neo-Nazi,2007,Kansas City,39.1234,-94.7443
American National Socialist Workers Party,Montana,Neo-Nazi,2007,Missoula,46.8685,-114.0094
American National Socialist Workers Party,Indiana,Neo-Nazi,2007,Muncie,40.1989,-85.395
American National Socialist Workers Party,Illinois,Neo-Nazi,2007,Peoria,40.752,-89.6155
American National Socialist Workers Party,Arizona,Neo-Nazi,2007,Phoenix,33.5722,-112.0891
American National Socialist Workers Party,Indiana,Neo-Nazi,2007,Portage,41.5866,-87.1792
American National Socialist Workers Party,Virginia,Neo-Nazi,2007,Roanoke,37.2785,-79.958
American National Socialist Workers Party,Utah,Neo-Nazi,2007,Salt Lake City,40.7774,-111.9301
American National Socialist Workers Party,Florida,Neo-Nazi,2007,Sarasota,27.3391,-82.5439
American National Socialist Workers Party,Oklahoma,Neo-Nazi,2007,Tulsa,36.1284,-95.9042
American National Socialist Workers Party,South Carolina,Neo-Nazi,2007,Westminster,34.6657,-83.0911
American National Socialist Workers Party,Ohio,Neo-Nazi,2007,Wilmington,39.4387,-83.8184
American Nationalist Union,Pennsylvania,White Nationalist,2007,Allison Park,40.573,-79.9603
American Nazi Party,Michigan,Neo-Nazi,2007,Westland,42.3192,-83.3805
American Reformation Ministries,Arkansas,Christian Identity,2007,Malvern,34.3689,-92.8187
American Renaissance/New Century Foundation,Virginia,White Nationalist,2007,Arlington,38.8786,-77.1011
American Renaissance/New Century Foundation,Illinois,White Nationalist,2007,Chicago,41.8373,-87.6861
American Renaissance/New Century Foundation,Virginia,White Nationalist,2007,Oakton,38.8887,-77.3017
American Renaissance/New Century Foundation,California,White Nationalist,2007,San Francisco,37.7562,-122.443
American Vision,Georgia,Anti-LGBT,2007,Powder Springs,33.866,-84.6838
American White Knights of the KKK,Georgia,Ku Klux Klan,2007,Cordele,31.9563,-83.7694
Americans for Self Determination,Virginia,White Nationalist,2007,Falls Church,38.8847,-77.1751
Apostles of Adolf Hitler,Oregon,Neo-Nazi,2007,Portland,45.5372,-122.65
Appalachian Knights of the KKK,Kentucky,Ku Klux Klan,2007,Caneyville,37.4241,-86.4906
Appalachian Knights of the KKK,Ohio,Ku Klux Klan,2007,Dayton,39.7797,-84.1998
Appalachian Knights of the KKK,West Virginia,Ku Klux Klan,2007,Logan,37.8509,-81.9857
Appalachian Knights of the KKK,Kentucky,Ku Klux Klan,2007,Pikeville,37.4808,-82.5261
Artisan Publishers,Oklahoma,General Hate,2007,Muskogee,35.743,-95.3566
Aryan Anarchist Skins,Illinois,Racist Skinhead,2007,Mount Morris,42.0487,-89.4295
Aryan Covenant Church/ACC Services,Texas,Christian Identity,2007,Anderson,30.4871,-95.99
Aryan Militia,California,Neo-Nazi,2007,Bakersfield,35.353,-119.036
Aryan Nations,Tennessee,Neo-Nazi,2007,Andersonville,36.197,-84.033
Aryan Nations,Wisconsin,Neo-Nazi,2007,Appleton,44.2774,-88.3894
Aryan Nations,Texas,Neo-Nazi,2007,Bellmead,31.6025,-97.0896
Aryan Nations,Oklahoma,Neo-Nazi,2007,Bixby,35.9454,-95.8774
Aryan Nations,California,Neo-Nazi,2007,Chino,33.9836,-117.6653
Aryan Nations,Arizona,Neo-Nazi,2007,Goodyear,33.2614,-112.3622
Aryan Nations,Texas,Neo-Nazi,2007,Houston,29.7868,-95.3905
Aryan Nations,Pennsylvania,Neo-Nazi,2007,Lemoyne,40.2442,-76.8991
Aryan Nations,Alabama,Neo-Nazi,2007,Lincoln,33.5935,-86.1372
Aryan Nations,Arkansas,Neo-Nazi,2007,London,35.328,-93.2417
Aryan Nations,Florida,Neo-Nazi,2007,Orlando,28.4788,-81.342
Aryan Nations,Missouri,Neo-Nazi,2007,Salem,37.6398,-91.5346
Aryan Nations,Indiana,Neo-Nazi,2007,South Bend,41.6771,-86.2692
Aryan Nations,Washington,Neo-Nazi,2007,Spokane,47.6671,-117.433
Aryan Nations,Washington,Neo-Nazi,2007,Tacoma,47.2431,-122.4531
Aryan Nations,Illinois,Neo-Nazi,2007,Troy,38.727,-89.8968
Aryan Nations,South Carolina,Neo-Nazi,2007,Lexington,33.9866,-81.222
Aryan Wear,Texas,White Nationalist,2007,Keller,32.9337,-97.2255
Barnes Review/Foundation for Economic Liberty Inc,District of Columbia,Holocaust Denial,2007,Washington,38.9047,-77.0163
Bay Area Skinheads,California,Racist Skinhead,2007,San Francisco,37.7562,-122.443
Bayou Knights of the KKK,Texas,Ku Klux Klan,2007,Amarillo,35.1988,-101.8308
Bayou Knights of the KKK,Texas,Ku Klux Klan,2007,El Paso,31.8479,-106.4309
Bayou Knights of the KKK,Louisiana,Ku Klux Klan,2007,Homer,32.793,-93.0582
Bayou Knights of the KKK,Mississippi,Ku Klux Klan,2007,Kiln,30.4171,-89.4322
Bayou Knights of the KKK,Texas,Ku Klux Klan,2007,Lufkin,31.3217,-94.7277
Bayou Knights of the KKK,Texas,Ku Klux Klan,2007,Midlothian,32.4719,-96.9877
Bayou Knights of the KKK,Texas,Ku Klux Klan,2007,Palestine,31.7544,-95.6471
Bayou Knights of the KKK,Oklahoma,Ku Klux Klan,2007,Shawnee,35.3525,-96.9647
Bayou Knights of the KKK,Louisiana,Ku Klux Klan,2007,Shreveport,32.4659,-93.7959
Bayou Knights of the KKK,Arkansas,Ku Klux Klan,2007,Smackover,33.3636,-92.7314
Bayou Knights of the KKK,Louisiana,Ku Klux Klan,2007,Walker,30.4848,-90.8654
Bergen County Hooligans,New Jersey,Racist Skinhead,2007,Garfield,40.8791,-74.1085
Bergen County Hooligans,New Jersey,Racist Skinhead,2007,Lodi,40.8784,-74.0815
Bergen County Hooligans,New Jersey,Racist Skinhead,2007,Rutherford,40.8203,-74.1057
