title,state_name,ideology,year,city,lat,lon
14 Words Press,California,White Nationalist,2002,Napa,38.2977,-122.3011
88 Enterprises,Ohio,General Hate,2002,Canton,40.8076,-81.3677
Alabama White Knights of the KKK,Alabama,Ku Klux Klan,2002,Anniston,33.6713,-85.8136
Alabama White Knights of the KKK,Alabama,Ku Klux Klan,2002,Birmingham,33.5276,-86.7988
Alabama White Knights of the KKK,Alabama,Ku Klux Klan,2002,Clanton,32.8439,-86.623
Alabama White Knights of the KKK,Alabama,Ku Klux Klan,2002,Sylacauga,33.1779,-86.2606
Alabama White Knights of the KKK,Alabama,Ku Klux Klan,2002,Wilton,33.0813,-86.8799
America's Invisible Empire Knights of the KKK,Tennessee,Christian Identity,2002,Erwin,36.1456,-82.4115
America's Invisible Empire Knights of the KKK,Alabama,Christian Identity,2002,Hartselle,34.4391,-86.94
America's Invisible Empire Knights of the KKK,Louisiana,Christian Identity,2002,Longville,30.609,-93.2282
America's Promise Ministries,Idaho,Christian Identity,2002,Sandpoint,48.2832,-116.5613
American Immigration Control Foundation / Americans for Immigration Control,Virginia,Anti-Immigrant,2002,Monterey,38.4116,-79.5809
American Knights of the Ku Klux Klan,Indiana,Ku Klux Klan,2002,Butler,41.4274,-84.8721
American Knights of the Ku Klux Klan,Arkansas,Ku Klux Klan,2002,Cedarville,35.5831,-94.3615
American Knights of the Ku Klux Klan,Pennsylvania,Ku Klux Klan,2002,Cokeburg,40.1001,-80.0656
American Knights of the Ku Klux Klan,Oklahoma,Ku Klux Klan,2002,Collinsville,36.3723,-95.8601
American Knights of the Ku Klux Klan,Indiana,Ku Klux Klan,2002,Goshen,41.5741,-85.8304
American Knights of the Ku Klux Klan,Tennessee,Ku Klux Klan,2002,Hillsboro,35.4085,-85.9639
American Knights of the Ku Klux Klan,Texas,Ku Klux Klan,2002,Mauriceville,30.2187,-93.8758
American Knights of the Ku Klux Klan,Texas,Ku Klux Klan,2002,Port Lavaca,28.6181,-96.6278
American Knights of the Ku Klux Klan,Texas,Ku Klux Klan,2002,Riesel,31.4763,-96.9304
American Knights of the Ku Klux Klan,Texas,Ku Klux Klan,2002,San Antonio,29.4722,-98.5247
American Knights of the Ku Klux Klan,Texas,Ku Klux Klan,2002,Victoria,28.8285,-96.985
American Knights of the Ku Klux Klan,Oklahoma,Ku Klux Klan,2002,Watts,36.1073,-94.5717
American Knights of the Ku Klux Klan,Louisiana,Ku Klux Klan,2002,Welsh,30.2355,-92.8135
American Nazi Party,Michigan,Neo-Nazi,2002,Eastpointe,42.4657,-82.9461
